cmea_title,icd10_range,icd10_code
Diarrhoeal diseases,"A00,A01,A02,A03,A04,A05,A06,A07,A08,A09",A00
Diarrhoeal diseases,"A00,A01,A02,A03,A04,A05,A06,A07,A08,A09",A01
Diarrhoeal diseases,"A00,A01,A02,A03,A04,A05,A06,A07,A08,A09",A02
Diarrhoeal diseases,"A00,A01,A02,A03,A04,A05,A06,A07,A08,A09",A03
Diarrhoeal diseases,"A00,A01,A02,A03,A04,A05,A06,A07,A08,A09",A04
Diarrhoeal diseases,"A00,A01,A02,A03,A04,A05,A06,A07,A08,A09",A05
Diarrhoeal diseases,"A00,A01,A02,A03,A04,A05,A06,A07,A08,A09",A06
Diarrhoeal diseases,"A00,A01,A02,A03,A04,A05,A06,A07,A08,A09",A07
Diarrhoeal diseases,"A00,A01,A02,A03,A04,A05,A06,A07,A08,A09",A08
Diarrhoeal diseases,"A00,A01,A02,A03,A04,A05,A06,A07,A08,A09",A09
Tuberculosis,"A15,A16,A17,A18,A19,B90,J65",A15
Tuberculosis,"A15,A16,A17,A18,A19,B90,J65",A16
Tuberculosis,"A15,A16,A17,A18,A19,B90,J65",A17
Tuberculosis,"A15,A16,A17,A18,A19,B90,J65",A18
Tuberculosis,"A15,A16,A17,A18,A19,B90,J65",A19
Tuberculosis,"A15,A16,A17,A18,A19,B90,J65",B90
Tuberculosis,"A15,A16,A17,A18,A19,B90,J65",J65
Severe systemic infections,"A20,A21,A22,A23,A24,A25,A26,A27,A28,A31,U80,U81,U88,U89",A20
Severe systemic infections,"A20,A21,A22,A23,A24,A25,A26,A27,A28,A31,U80,U81,U88,U89",A21
Severe systemic infections,"A20,A21,A22,A23,A24,A25,A26,A27,A28,A31,U80,U81,U88,U89",A22
Severe systemic infections,"A20,A21,A22,A23,A24,A25,A26,A27,A28,A31,U80,U81,U88,U89",A23
Severe systemic infections,"A20,A21,A22,A23,A24,A25,A26,A27,A28,A31,U80,U81,U88,U89",A24
Severe systemic infections,"A20,A21,A22,A23,A24,A25,A26,A27,A28,A31,U80,U81,U88,U89",A25
Severe systemic infections,"A20,A21,A22,A23,A24,A25,A26,A27,A28,A31,U80,U81,U88,U89",A26
Severe systemic infections,"A20,A21,A22,A23,A24,A25,A26,A27,A28,A31,U80,U81,U88,U89",A27
Severe systemic infections,"A20,A21,A22,A23,A24,A25,A26,A27,A28,A31,U80,U81,U88,U89",A28
Severe systemic infections,"A20,A21,A22,A23,A24,A25,A26,A27,A28,A31,U80,U81,U88,U89",A31
Severe systemic infections,"A20,A21,A22,A23,A24,A25,A26,A27,A28,A31,U80,U81,U88,U89",U80
Severe systemic infections,"A20,A21,A22,A23,A24,A25,A26,A27,A28,A31,U80,U81,U88,U89",U81
Severe systemic infections,"A20,A21,A22,A23,A24,A25,A26,A27,A28,A31,U80,U81,U88,U89",U88
Severe systemic infections,"A20,A21,A22,A23,A24,A25,A26,A27,A28,A31,U80,U81,U88,U89",U89
Leprosy,"A30,B92",A30
Leprosy,"A30,B92",B92
Tetanus,"A33,A35",A33
Tetanus,"A33,A35",A35
Other vaccine preventable diseases (1),"A36,A37,B26",A36
Other vaccine preventable diseases (1),"A36,A37,B26",A37
Other vaccine preventable diseases (1),"A36,A37,B26",B26
Meningitis/Encephalitis,"A39,A81,A83,A84,A85,A86,A87,A88,A89,G00,G01,G02,G03,G04,G05,G06,G07,G08,G09",A39
Meningitis/Encephalitis,"A39,A81,A83,A84,A85,A86,A87,A88,A89,G00,G01,G02,G03,G04,G05,G06,G07,G08,G09",A81
Meningitis/Encephalitis,"A39,A81,A83,A84,A85,A86,A87,A88,A89,G00,G01,G02,G03,G04,G05,G06,G07,G08,G09",A83
Meningitis/Encephalitis,"A39,A81,A83,A84,A85,A86,A87,A88,A89,G00,G01,G02,G03,G04,G05,G06,G07,G08,G09",A84
Meningitis/Encephalitis,"A39,A81,A83,A84,A85,A86,A87,A88,A89,G00,G01,G02,G03,G04,G05,G06,G07,G08,G09",A85
Meningitis/Encephalitis,"A39,A81,A83,A84,A85,A86,A87,A88,A89,G00,G01,G02,G03,G04,G05,G06,G07,G08,G09",A86
Meningitis/Encephalitis,"A39,A81,A83,A84,A85,A86,A87,A88,A89,G00,G01,G02,G03,G04,G05,G06,G07,G08,G09",A87
Meningitis/Encephalitis,"A39,A81,A83,A84,A85,A86,A87,A88,A89,G00,G01,G02,G03,G04,G05,G06,G07,G08,G09",A88
Meningitis/Encephalitis,"A39,A81,A83,A84,A85,A86,A87,A88,A89,G00,G01,G02,G03,G04,G05,G06,G07,G08,G09",A89
Meningitis/Encephalitis,"A39,A81,A83,A84,A85,A86,A87,A88,A89,G00,G01,G02,G03,G04,G05,G06,G07,G08,G09",G00
Meningitis/Encephalitis,"A39,A81,A83,A84,A85,A86,A87,A88,A89,G00,G01,G02,G03,G04,G05,G06,G07,G08,G09",G01
Meningitis/Encephalitis,"A39,A81,A83,A84,A85,A86,A87,A88,A89,G00,G01,G02,G03,G04,G05,G06,G07,G08,G09",G02
Meningitis/Encephalitis,"A39,A81,A83,A84,A85,A86,A87,A88,A89,G00,G01,G02,G03,G04,G05,G06,G07,G08,G09",G03
Meningitis/Encephalitis,"A39,A81,A83,A84,A85,A86,A87,A88,A89,G00,G01,G02,G03,G04,G05,G06,G07,G08,G09",G04
Meningitis/Encephalitis,"A39,A81,A83,A84,A85,A86,A87,A88,A89,G00,G01,G02,G03,G04,G05,G06,G07,G08,G09",G05
Meningitis/Encephalitis,"A39,A81,A83,A84,A85,A86,A87,A88,A89,G00,G01,G02,G03,G04,G05,G06,G07,G08,G09",G06
Meningitis/Encephalitis,"A39,A81,A83,A84,A85,A86,A87,A88,A89,G00,G01,G02,G03,G04,G05,G06,G07,G08,G09",G07
Meningitis/Encephalitis,"A39,A81,A83,A84,A85,A86,A87,A88,A89,G00,G01,G02,G03,G04,G05,G06,G07,G08,G09",G08
Meningitis/Encephalitis,"A39,A81,A83,A84,A85,A86,A87,A88,A89,G00,G01,G02,G03,G04,G05,G06,G07,G08,G09",G09
Other infectious diseases (1),"A50,A65,A66,A67,A69",A50
Other infectious diseases (1),"A50,A65,A66,A67,A69",A65
Other infectious diseases (1),"A50,A65,A66,A67,A69",A66
Other infectious diseases (1),"A50,A65,A66,A67,A69",A67
Other infectious diseases (1),"A50,A65,A66,A67,A69",A69
Syphilis,"A51,A52,A53",A51
Syphilis,"A51,A52,A53",A52
Syphilis,"A51,A52,A53",A53
Other sexually transmitted infections (excl. HIV/AIDS),"A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,A64,N70,N71,N72,N73,N74",A54
Other sexually transmitted infections (excl. HIV/AIDS),"A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,A64,N70,N71,N72,N73,N74",A55
Other sexually transmitted infections (excl. HIV/AIDS),"A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,A64,N70,N71,N72,N73,N74",A56
Other sexually transmitted infections (excl. HIV/AIDS),"A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,A64,N70,N71,N72,N73,N74",A57
Other sexually transmitted infections (excl. HIV/AIDS),"A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,A64,N70,N71,N72,N73,N74",A58
Other sexually transmitted infections (excl. HIV/AIDS),"A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,A64,N70,N71,N72,N73,N74",A59
Other sexually transmitted infections (excl. HIV/AIDS),"A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,A64,N70,N71,N72,N73,N74",A60
Other sexually transmitted infections (excl. HIV/AIDS),"A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,A64,N70,N71,N72,N73,N74",A61
Other sexually transmitted infections (excl. HIV/AIDS),"A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,A64,N70,N71,N72,N73,N74",A62
Other sexually transmitted infections (excl. HIV/AIDS),"A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,A64,N70,N71,N72,N73,N74",A63
Other sexually transmitted infections (excl. HIV/AIDS),"A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,A64,N70,N71,N72,N73,N74",A64
Other sexually transmitted infections (excl. HIV/AIDS),"A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,A64,N70,N71,N72,N73,N74",N70
Other sexually transmitted infections (excl. HIV/AIDS),"A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,A64,N70,N71,N72,N73,N74",N71
Other sexually transmitted infections (excl. HIV/AIDS),"A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,A64,N70,N71,N72,N73,N74",N72
Other sexually transmitted infections (excl. HIV/AIDS),"A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,A64,N70,N71,N72,N73,N74",N73
Other sexually transmitted infections (excl. HIV/AIDS),"A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,A64,N70,N71,N72,N73,N74",N74
Poliomyelitis,"A80,B91",A80
Poliomyelitis,"A80,B91",B91
Arthropod-borne viral fevers,"A90,A91,A92,A93,A94,A95,A96,A98,A99",A90
Arthropod-borne viral fevers,"A90,A91,A92,A93,A94,A95,A96,A98,A99",A91
Arthropod-borne viral fevers,"A90,A91,A92,A93,A94,A95,A96,A98,A99",A92
Arthropod-borne viral fevers,"A90,A91,A92,A93,A94,A95,A96,A98,A99",A93
Arthropod-borne viral fevers,"A90,A91,A92,A93,A94,A95,A96,A98,A99",A94
Arthropod-borne viral fevers,"A90,A91,A92,A93,A94,A95,A96,A98,A99",A95
Arthropod-borne viral fevers,"A90,A91,A92,A93,A94,A95,A96,A98,A99",A96
Arthropod-borne viral fevers,"A90,A91,A92,A93,A94,A95,A96,A98,A99",A98
Arthropod-borne viral fevers,"A90,A91,A92,A93,A94,A95,A96,A98,A99",A99
