icd10_kind,icd10_kind_depth,icd10_chapter,icd10_code,icd10_title,icd11_kind,icd11_kind_depth,icd11_chapter,icd11_code,icd11_title,icd11_foundation_url,icd11_linear_url
chapter,1,I,I,Certain infectious and parasitic diseases,category,1,01,1H0Z,"Infection, unspecified",http://id.who.int/icd/entity/1435254666,http://id.who.int/icd/release/11/2022-02/mms/1435254666/unspecified
block,1,I,A00-A09,Intestinal infectious diseases,block,1,01,nan,Gastroenteritis or colitis of infectious origin,http://id.who.int/icd/entity/588616678,http://id.who.int/icd/release/11/2022-02/mms/588616678
category,1,I,A00,Cholera,category,1,01,1A00,Cholera,http://id.who.int/icd/entity/257068234,http://id.who.int/icd/release/11/2022-02/mms/257068234
category,2,I,A00.0,"Cholera due to Vibrio cholerae 01, biovar cholerae",category,1,01,1A00&XN8P1,"Cholera / Vibrio cholera O1, biovar cholerae",http://id.who.int/icd/entity/1205958647,http://id.who.int/icd/release/11/2022-02/mms/257068234
category,2,I,A00.1,"Cholera due to Vibrio cholerae 01, biovar eltor",category,1,01,1A00&XN62R,"Cholera / Vibrio cholera O1, biovar eltor",http://id.who.int/icd/entity/581614179,http://id.who.int/icd/release/11/2022-02/mms/257068234
category,2,I,A00.9,"Cholera, unspecified",category,1,01,1A00,Cholera,http://id.who.int/icd/entity/257068234,http://id.who.int/icd/release/11/2022-02/mms/257068234
category,1,I,A01,Typhoid and paratyphoid fevers,category,1,01,1A0Z&XN0QE,"Bacterial intestinal infections, unspecified / Salmonellae",http://id.who.int/icd/entity/1561949126,http://id.who.int/icd/release/11/2022-02/mms/135352227/unspecified
category,2,I,A01.0,Typhoid fever,category,2,01,1A07.Z,"Typhoid fever, unspecified",http://id.who.int/icd/entity/1528414070,http://id.who.int/icd/release/11/2022-02/mms/1528414070/unspecified
category,2,I,A01.1,Paratyphoid fever A,category,1,01,1A08,Paratyphoid fever,http://id.who.int/icd/entity/1045590756,http://id.who.int/icd/release/11/2022-02/mms/1780040028
category,2,I,A01.2,Paratyphoid fever B,category,1,01,1A08,Paratyphoid fever,http://id.who.int/icd/entity/1258234397,http://id.who.int/icd/release/11/2022-02/mms/1780040028
category,2,I,A01.3,Paratyphoid fever C,category,1,01,1A08,Paratyphoid fever,http://id.who.int/icd/entity/800386953,http://id.who.int/icd/release/11/2022-02/mms/1780040028
category,2,I,A01.4,"Paratyphoid fever, unspecified",category,1,01,1A08,Paratyphoid fever,http://id.who.int/icd/entity/1780040028,http://id.who.int/icd/release/11/2022-02/mms/1780040028
