wbd10_age,wbd10_kind,wbd10_kind_depth,wbd10_codex4,wbd10_codex2,wbd10_code,wbd10_codex4_title,wbd10_codex2_title,wbd10_title,icd10_range,icd10_code
adult,codex,3,1,1D,1D01,"Communicable, maternal, perinatal and nutritional conditions",Diarrhoeal diseases,Diarrhoeal diseases,A00-A09,A00
child,codex,3,1,1B,1B01,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Diarrhoeal diseases,A00-A09,A01
neo,codex,3,1,1B,1B01,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Diarrhoeal diseases,A00-A09,A02
adult,codex,3,1,1D,1D01,"Communicable, maternal, perinatal and nutritional conditions",Diarrhoeal diseases,Diarrhoeal diseases,A00-A09,A03
child,codex,3,1,1B,1B01,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Diarrhoeal diseases,A00-A09,A04
neo,codex,3,1,1B,1B01,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Diarrhoeal diseases,A00-A09,A05
adult,codex,3,1,1D,1D01,"Communicable, maternal, perinatal and nutritional conditions",Diarrhoeal diseases,Diarrhoeal diseases,A00-A09,A06
child,codex,3,1,1B,1B01,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Diarrhoeal diseases,A00-A09,A07
neo,codex,3,1,1B,1B01,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Diarrhoeal diseases,A00-A09,A08
adult,codex,3,1,1D,1D01,"Communicable, maternal, perinatal and nutritional conditions",Diarrhoeal diseases,Diarrhoeal diseases,A00-A09,A09
child,codex,3,1,1B,1B01,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Diarrhoeal diseases,A00-A09,A00
neo,codex,3,1,1B,1B01,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Diarrhoeal diseases,A00-A09,A01
adult,codex,3,1,1D,1D01,"Communicable, maternal, perinatal and nutritional conditions",Diarrhoeal diseases,Diarrhoeal diseases,A00-A09,A02
child,codex,3,1,1B,1B01,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Diarrhoeal diseases,A00-A09,A03
neo,codex,3,1,1B,1B01,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Diarrhoeal diseases,A00-A09,A04
adult,codex,3,1,1D,1D01,"Communicable, maternal, perinatal and nutritional conditions",Diarrhoeal diseases,Diarrhoeal diseases,A00-A09,A05
child,codex,3,1,1B,1B01,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Diarrhoeal diseases,A00-A09,A06
neo,codex,3,1,1B,1B01,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Diarrhoeal diseases,A00-A09,A07
adult,codex,3,1,1D,1D01,"Communicable, maternal, perinatal and nutritional conditions",Diarrhoeal diseases,Diarrhoeal diseases,A00-A09,A08
child,codex,3,1,1B,1B01,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Diarrhoeal diseases,A00-A09,A09
neo,codex,3,1,1B,1B01,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Diarrhoeal diseases,A00-A09,A00
adult,codex,3,1,1D,1D01,"Communicable, maternal, perinatal and nutritional conditions",Diarrhoeal diseases,Diarrhoeal diseases,A00-A09,A01
child,codex,3,1,1B,1B01,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Diarrhoeal diseases,A00-A09,A02
neo,codex,3,1,1B,1B01,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Diarrhoeal diseases,A00-A09,A03
adult,codex,3,1,1D,1D01,"Communicable, maternal, perinatal and nutritional conditions",Diarrhoeal diseases,Diarrhoeal diseases,A00-A09,A04
child,codex,3,1,1B,1B01,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Diarrhoeal diseases,A00-A09,A05
neo,codex,3,1,1B,1B01,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Diarrhoeal diseases,A00-A09,A06
adult,codex,3,1,1D,1D01,"Communicable, maternal, perinatal and nutritional conditions",Diarrhoeal diseases,Diarrhoeal diseases,A00-A09,A07
child,codex,3,1,1B,1B01,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Diarrhoeal diseases,A00-A09,A08
neo,codex,3,1,1B,1B01,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Diarrhoeal diseases,A00-A09,A09
neo,codex,3,1,1B,1B06,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95",A15
neo,codex,3,1,1B,1B06,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95",A16
