wva2022_code,wva2022_title,icd10_range,icd10_code
1.04,Diarrheal diseases,A00-09,A00
1.04,Diarrheal diseases,A00-09,A01
1.04,Diarrheal diseases,A00-09,A02
1.04,Diarrheal diseases,A00-09,A03
1.04,Diarrheal diseases,A00-09,A04
1.04,Diarrheal diseases,A00-09,A05
1.04,Diarrheal diseases,A00-09,A06
1.04,Diarrheal diseases,A00-09,A07
1.04,Diarrheal diseases,A00-09,A08
1.04,Diarrheal diseases,A00-09,A09
1.09,Pulmonary tuberculosis,A15-16,A15
1.09,Pulmonary tuberculosis,A15-16,A16
1.99,Unspecified infectious disease,A17-32,A17
1.99,Unspecified infectious disease,A17-32,A18
1.99,Unspecified infectious disease,A17-32,A19
1.99,Unspecified infectious disease,A17-32,A20
1.99,Unspecified infectious disease,A17-32,A21
1.99,Unspecified infectious disease,A17-32,A22
1.99,Unspecified infectious disease,A17-32,A23
1.99,Unspecified infectious disease,A17-32,A24
1.99,Unspecified infectious disease,A17-32,A25
1.99,Unspecified infectious disease,A17-32,A26
1.99,Unspecified infectious disease,A17-32,A27
1.99,Unspecified infectious disease,A17-32,A28
1.99,Unspecified infectious disease,A17-32,A29
1.99,Unspecified infectious disease,A17-32,A30
1.99,Unspecified infectious disease,A17-32,A31
1.99,Unspecified infectious disease,A17-32,A32
10.05,Neonatal tetanus,A33,A33
1.08,Tetanus12,A33-35,A33
1.08,Tetanus12,A33-35,A34
1.08,Tetanus12,A33-35,A35
nan,nan,"A36,A38,A42-89,B00-04",A36
nan,nan,"A36,A38,A42-89,B00-04",A38
nan,nan,"A36,A38,A42-89,B00-04",A42
nan,nan,"A36,A38,A42-89,B00-04",A43
nan,nan,"A36,A38,A42-89,B00-04",A44
nan,nan,"A36,A38,A42-89,B00-04",A45
nan,nan,"A36,A38,A42-89,B00-04",A46
nan,nan,"A36,A38,A42-89,B00-04",A47
nan,nan,"A36,A38,A42-89,B00-04",A48
nan,nan,"A36,A38,A42-89,B00-04",A49
nan,nan,"A36,A38,A42-89,B00-04",A50
nan,nan,"A36,A38,A42-89,B00-04",A51
nan,nan,"A36,A38,A42-89,B00-04",A52
nan,nan,"A36,A38,A42-89,B00-04",A53
nan,nan,"A36,A38,A42-89,B00-04",A54
nan,nan,"A36,A38,A42-89,B00-04",A55
nan,nan,"A36,A38,A42-89,B00-04",A56
nan,nan,"A36,A38,A42-89,B00-04",A57
nan,nan,"A36,A38,A42-89,B00-04",A58
nan,nan,"A36,A38,A42-89,B00-04",A59
nan,nan,"A36,A38,A42-89,B00-04",A60
nan,nan,"A36,A38,A42-89,B00-04",A61
nan,nan,"A36,A38,A42-89,B00-04",A62
nan,nan,"A36,A38,A42-89,B00-04",A63
nan,nan,"A36,A38,A42-89,B00-04",A64
nan,nan,"A36,A38,A42-89,B00-04",A65
nan,nan,"A36,A38,A42-89,B00-04",A66
nan,nan,"A36,A38,A42-89,B00-04",A67
nan,nan,"A36,A38,A42-89,B00-04",A68
nan,nan,"A36,A38,A42-89,B00-04",A69
nan,nan,"A36,A38,A42-89,B00-04",A70
nan,nan,"A36,A38,A42-89,B00-04",A71
nan,nan,"A36,A38,A42-89,B00-04",A72
nan,nan,"A36,A38,A42-89,B00-04",A73
nan,nan,"A36,A38,A42-89,B00-04",A74
nan,nan,"A36,A38,A42-89,B00-04",A75
nan,nan,"A36,A38,A42-89,B00-04",A76
nan,nan,"A36,A38,A42-89,B00-04",A77
nan,nan,"A36,A38,A42-89,B00-04",A78
nan,nan,"A36,A38,A42-89,B00-04",A79
nan,nan,"A36,A38,A42-89,B00-04",A80
nan,nan,"A36,A38,A42-89,B00-04",A81
nan,nan,"A36,A38,A42-89,B00-04",A82
nan,nan,"A36,A38,A42-89,B00-04",A83
nan,nan,"A36,A38,A42-89,B00-04",A84
nan,nan,"A36,A38,A42-89,B00-04",A85
nan,nan,"A36,A38,A42-89,B00-04",A86
nan,nan,"A36,A38,A42-89,B00-04",A87
nan,nan,"A36,A38,A42-89,B00-04",A88
nan,nan,"A36,A38,A42-89,B00-04",A89
nan,nan,"A36,A38,A42-89,B00-04",B00
nan,nan,"A36,A38,A42-89,B00-04",B01
nan,nan,"A36,A38,A42-89,B00-04",B02
nan,nan,"A36,A38,A42-89,B00-04",B03
nan,nan,"A36,A38,A42-89,B00-04",B04
1.1,Pertussis,A37,A37
1.07,Meningitis and encephalitis,"A39,G00-05",A39
1.07,Meningitis and encephalitis,"A39,G00-05",G00
1.07,Meningitis and encephalitis,"A39,G00-05",G01
1.07,Meningitis and encephalitis,"A39,G00-05",G02
1.07,Meningitis and encephalitis,"A39,G00-05",G03
1.07,Meningitis and encephalitis,"A39,G00-05",G04
1.07,Meningitis and encephalitis,"A39,G00-05",G05
1.01,Sepsis,A40-41,A40
1.01,Sepsis,A40-41,A41
1.11,Haemorrhagic fever13,"A92-96,A98-99",A92
1.11,Haemorrhagic fever13,"A92-96,A98-99",A93
1.11,Haemorrhagic fever13,"A92-96,A98-99",A94
1.11,Haemorrhagic fever13,"A92-96,A98-99",A95
1.11,Haemorrhagic fever13,"A92-96,A98-99",A96
1.11,Haemorrhagic fever13,"A92-96,A98-99",A98
1.11,Haemorrhagic fever13,"A92-96,A98-99",A99
1.12,Dengue fever,A97,A97
1.06,Measles,B05,B05
nan,nan,B06-19,B06
nan,nan,B06-19,B07
nan,nan,B06-19,B08
nan,nan,B06-19,B09
nan,nan,B06-19,B10
nan,nan,B06-19,B11
nan,nan,B06-19,B12
nan,nan,B06-19,B13
nan,nan,B06-19,B14
nan,nan,B06-19,B15
nan,nan,B06-19,B16
nan,nan,B06-19,B17
nan,nan,B06-19,B18
nan,nan,B06-19,B19
1.03,HIV/AIDS related death,B20-24,B20
1.03,HIV/AIDS related death,B20-24,B21
1.03,HIV/AIDS related death,B20-24,B22
1.03,HIV/AIDS related death,B20-24,B23
1.03,HIV/AIDS related death,B20-24,B24
nan,nan,"B25-49,B55-99",B25
nan,nan,"B25-49,B55-99",B26
nan,nan,"B25-49,B55-99",B27
nan,nan,"B25-49,B55-99",B28
nan,nan,"B25-49,B55-99",B29
nan,nan,"B25-49,B55-99",B30
nan,nan,"B25-49,B55-99",B31
nan,nan,"B25-49,B55-99",B32
nan,nan,"B25-49,B55-99",B33
nan,nan,"B25-49,B55-99",B34
nan,nan,"B25-49,B55-99",B35
nan,nan,"B25-49,B55-99",B36
nan,nan,"B25-49,B55-99",B37
nan,nan,"B25-49,B55-99",B38
nan,nan,"B25-49,B55-99",B39
nan,nan,"B25-49,B55-99",B40
nan,nan,"B25-49,B55-99",B41
nan,nan,"B25-49,B55-99",B42
nan,nan,"B25-49,B55-99",B43
