icd11_chapter,icd11_code,icd11_title,icd10_chapter,icd10_code,icd10_title,icd11_linear_url
1,01,Certain infectious or parasitic diseases,I,I,Certain infectious and parasitic diseases,http://id.who.int/icd/release/11/2022-02/mms/1435254666
1,nan,Gastroenteritis or colitis of infectious origin,I,A08.5,Other specified intestinal infections,http://id.who.int/icd/release/11/2022-02/mms/588616678
1,nan,Bacterial intestinal infections,I,A04.9,"Bacterial intestinal infection, unspecified",http://id.who.int/icd/release/11/2022-02/mms/135352227
1,1A00,Cholera,I,A00,Cholera,http://id.who.int/icd/release/11/2022-02/mms/257068234
1,1A01,Intestinal infection due to other Vibrio,I,A04,Other bacterial intestinal infections,http://id.who.int/icd/release/11/2022-02/mms/416025325
1,1A02,Intestinal infections due to Shigella,I,A03,Shigellosis,http://id.who.int/icd/release/11/2022-02/mms/2080365623
1,1A03,Intestinal infections due to Escherichia coli,I,A04,Other bacterial intestinal infections,http://id.who.int/icd/release/11/2022-02/mms/344162786
1,1A03.0,Enteropathogenic Escherichia coli infection,I,A04.0,Enteropathogenic Escherichia coli infection,http://id.who.int/icd/release/11/2022-02/mms/2099226249
1,1A03.1,Enterotoxigenic Escherichia coli infection,I,A04.1,Enterotoxigenic Escherichia coli infection,http://id.who.int/icd/release/11/2022-02/mms/408185629
1,1A03.2,Enteroinvasive Escherichia coli infection,I,A04.2,Enteroinvasive Escherichia coli infection,http://id.who.int/icd/release/11/2022-02/mms/1828273122
1,1A03.3,Enterohaemorrhagic Escherichia coli infection,I,A04.3,Enterohaemorrhagic Escherichia coli infection,http://id.who.int/icd/release/11/2022-02/mms/162723448
1,1A03.Y,Intestinal infections due to other specified Escherichia coli,I,A04.8,Other specified bacterial intestinal infections,http://id.who.int/icd/release/11/2022-02/mms/344162786/other
1,1A03.Z,"Intestinal infections due to Escherichia coli, unspecified",I,A04,Other bacterial intestinal infections,http://id.who.int/icd/release/11/2022-02/mms/344162786/unspecified
1,1A04,Intestinal infections due to Clostridioides difficile,I,A04.7,Enterocolitis due to Clostridium difficile,http://id.who.int/icd/release/11/2022-02/mms/250688797
1,1A05,Intestinal infections due to Yersinia enterocolitica,I,A04.6,Enteritis due to Yersinia enterocolitica,http://id.who.int/icd/release/11/2022-02/mms/1000894786
1,1A06,Gastroenteritis due to Campylobacter,I,A04.5,Campylobacter enteritis,http://id.who.int/icd/release/11/2022-02/mms/794462570
1,1A07,Typhoid fever,I,A01.0,Typhoid fever,http://id.who.int/icd/release/11/2022-02/mms/1528414070
1,1A07.0,Typhoid peritonitis,I,A01.0,Typhoid fever,http://id.who.int/icd/release/11/2022-02/mms/364534567
1,1A07.Y,Other specified typhoid fever,I,A01.0,Typhoid fever,http://id.who.int/icd/release/11/2022-02/mms/1528414070/other
1,1A07.Z,"Typhoid fever, unspecified",I,A01.0,Typhoid fever,http://id.who.int/icd/release/11/2022-02/mms/1528414070/unspecified
1,1A08,Paratyphoid fever,I,A01,Typhoid and paratyphoid fevers,http://id.who.int/icd/release/11/2022-02/mms/1780040028
1,1A09,Infections due to other Salmonella,I,A02,Other salmonella infections,http://id.who.int/icd/release/11/2022-02/mms/515117475
1,1A09.0,Salmonella enteritis,I,A02.0,Salmonella enteritis,http://id.who.int/icd/release/11/2022-02/mms/1520312138
1,1A09.Y,Infections due to other Salmonella in other organs,I,A02.8,Other specified salmonella infections,http://id.who.int/icd/release/11/2022-02/mms/515117475/other
1,1A09.Z,"Salmonella infection, unspecified",I,A02,Other salmonella infections,http://id.who.int/icd/release/11/2022-02/mms/515117475/unspecified
1,1A0Y,Other specified bacterial intestinal infections,I,A04.9,"Bacterial intestinal infection, unspecified",http://id.who.int/icd/release/11/2022-02/mms/135352227/other
1,1A0Z,"Bacterial intestinal infections, unspecified",I,A04.9,"Bacterial intestinal infection, unspecified",http://id.who.int/icd/release/11/2022-02/mms/135352227/unspecified
1,nan,Bacterial foodborne intoxications,I,A05.9,"Bacterial foodborne intoxication, unspecified",http://id.who.int/icd/release/11/2022-02/mms/1834648119
1,1A10,Foodborne staphylococcal intoxication,I,A05.0,Foodborne staphylococcal intoxication,http://id.who.int/icd/release/11/2022-02/mms/1642556936
1,1A11,Botulism,I,A05.1,Botulism,http://id.who.int/icd/release/11/2022-02/mms/78422942
1,1A11.0,Foodborne intoxication by botulinum toxin,I,A05.1,Botulism,http://id.who.int/icd/release/11/2022-02/mms/2033726602
1,1A11.1,Other forms of botulism,I,A05.1,Botulism,http://id.who.int/icd/release/11/2022-02/mms/1393712712
1,1A11.Z,"Botulism, unspecified",I,A05.1,Botulism,http://id.who.int/icd/release/11/2022-02/mms/78422942/unspecified
1,1A12,Foodborne Clostridium perfringens intoxication,I,A05.2,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,http://id.who.int/icd/release/11/2022-02/mms/1879176035
1,1A13,Foodborne Bacillus cereus intoxication,I,A05.4,Foodborne Bacillus cereus intoxication,http://id.who.int/icd/release/11/2022-02/mms/1722068323
1,1A1Y,Other specified bacterial foodborne intoxications,I,A05.9,"Bacterial foodborne intoxication, unspecified",http://id.who.int/icd/release/11/2022-02/mms/1834648119/other
1,1A1Z,"Bacterial foodborne intoxications, unspecified",I,A05.9,"Bacterial foodborne intoxication, unspecified",http://id.who.int/icd/release/11/2022-02/mms/1834648119/unspecified
1,nan,Viral intestinal infections,I,A08,Viral and other specified intestinal infections,http://id.who.int/icd/release/11/2022-02/mms/30738976
1,1A20,Enteritis due to Adenovirus,I,A08.2,Adenoviral enteritis,http://id.who.int/icd/release/11/2022-02/mms/749414717
1,1A21,Gastroenteritis due to Astrovirus,I,A08.3,Other viral enteritis,http://id.who.int/icd/release/11/2022-02/mms/1185210745
1,1A22,Gastroenteritis due to Rotavirus,I,A08.0,Rotaviral enteritis,http://id.who.int/icd/release/11/2022-02/mms/840750347
1,1A23,Enteritis due to Norovirus,I,A08.1,Acute gastroenteropathy due to Norovirus,http://id.who.int/icd/release/11/2022-02/mms/1465325727
1,1A24,Intestinal infections due to Cytomegalovirus,I,A08.5,Other specified intestinal infections,http://id.who.int/icd/release/11/2022-02/mms/1519125035
1,1A2Y,Other specified viral intestinal infections,I,A08,Viral and other specified intestinal infections,http://id.who.int/icd/release/11/2022-02/mms/30738976/other
1,1A2Z,"Viral intestinal infections, unspecified",I,A08,Viral and other specified intestinal infections,http://id.who.int/icd/release/11/2022-02/mms/30738976/unspecified
1,nan,Protozoal intestinal infections,I,A08.5,Other specified intestinal infections,http://id.who.int/icd/release/11/2022-02/mms/2092703582
1,1A30,Infections due to Balantidium coli,I,A07.0,Balantidiasis,http://id.who.int/icd/release/11/2022-02/mms/2090337975
1,1A31,Giardiasis,I,A07.1,Giardiasis [lambliasis],http://id.who.int/icd/release/11/2022-02/mms/433310499
1,1A32,Cryptosporidiosis,I,A07.2,Cryptosporidiosis,http://id.who.int/icd/release/11/2022-02/mms/1837013982
