cghr10_age,cghr10_title,icd10_code,icd10_range
adult,Diarrhoeal diseases,A00,A00-A09
adult,Diarrhoeal diseases,A01,A00-A09
adult,Diarrhoeal diseases,A02,A00-A09
adult,Diarrhoeal diseases,A03,A00-A09
adult,Diarrhoeal diseases,A04,A00-A09
adult,Diarrhoeal diseases,A05,A00-A09
adult,Diarrhoeal diseases,A06,A00-A09
adult,Diarrhoeal diseases,A07,A00-A09
adult,Diarrhoeal diseases,A08,A00-A09
adult,Diarrhoeal diseases,A09,A00-A09
adult,Tuberculosis,A15,A15-A16
adult,Tuberculosis,A16,A15-A16
adult,Unspecified infections,A17,A17-A33
adult,Unspecified infections,A18,A17-A33
adult,Unspecified infections,A19,A17-A33
adult,Unspecified infections,A20,A17-A33
adult,Unspecified infections,A21,A17-A33
adult,Unspecified infections,A22,A17-A33
adult,Unspecified infections,A23,A17-A33
adult,Unspecified infections,A24,A17-A33
adult,Unspecified infections,A25,A17-A33
adult,Unspecified infections,A26,A17-A33
adult,Unspecified infections,A27,A17-A33
adult,Unspecified infections,A28,A17-A33
adult,Unspecified infections,A29,A17-A33
adult,Unspecified infections,A30,A17-A33
adult,Unspecified infections,A31,A17-A33
adult,Unspecified infections,A32,A17-A33
adult,Unspecified infections,A33,A17-A33
adult,Maternal conditions,A34,A34
adult,Unspecified infections,A35,A35-A99
adult,Unspecified infections,A36,A35-A99
adult,Unspecified infections,A37,A35-A99
adult,Unspecified infections,A38,A35-A99
adult,Unspecified infections,A39,A35-A99
adult,Unspecified infections,A40,A35-A99
adult,Unspecified infections,A41,A35-A99
adult,Unspecified infections,A42,A35-A99
adult,Unspecified infections,A43,A35-A99
adult,Unspecified infections,A44,A35-A99
adult,Unspecified infections,A45,A35-A99
adult,Unspecified infections,A46,A35-A99
adult,Unspecified infections,A47,A35-A99
adult,Unspecified infections,A48,A35-A99
adult,Unspecified infections,A49,A35-A99
adult,Unspecified infections,A50,A35-A99
adult,Unspecified infections,A51,A35-A99
adult,Unspecified infections,A52,A35-A99
adult,Unspecified infections,A53,A35-A99
adult,Unspecified infections,A54,A35-A99
adult,Unspecified infections,A55,A35-A99
adult,Unspecified infections,A56,A35-A99
adult,Unspecified infections,A57,A35-A99
adult,Unspecified infections,A58,A35-A99
adult,Unspecified infections,A59,A35-A99
adult,Unspecified infections,A60,A35-A99
adult,Unspecified infections,A61,A35-A99
