kind,kind_depth,chapter,code,title
chapter,1,I,I,Certain infectious and parasitic diseases
block,1,I,A00-A09,Intestinal infectious diseases
category,1,I,A00,Cholera
category,2,I,A00.0,"Cholera due to Vibrio cholerae 01, biovar cholerae"
category,2,I,A00.1,"Cholera due to Vibrio cholerae 01, biovar eltor"
category,2,I,A00.9,"Cholera, unspecified"
category,1,I,A01,Typhoid and paratyphoid fevers
category,2,I,A01.0,Typhoid fever
category,2,I,A01.1,Paratyphoid fever A
category,2,I,A01.2,Paratyphoid fever B
category,2,I,A01.3,Paratyphoid fever C
category,2,I,A01.4,"Paratyphoid fever, unspecified"
category,1,I,A02,Other salmonella infections
category,2,I,A02.0,Salmonella enteritis
category,2,I,A02.1,Salmonella sepsis
category,2,I,A02.2,Localized salmonella infections
category,2,I,A02.8,Other specified salmonella infections
category,2,I,A02.9,"Salmonella infection, unspecified"
category,1,I,A03,Shigellosis
category,2,I,A03.0,Shigellosis due to Shigella dysenteriae
category,2,I,A03.1,Shigellosis due to Shigella flexneri
category,2,I,A03.2,Shigellosis due to Shigella boydii
category,2,I,A03.3,Shigellosis due to Shigella sonnei
category,2,I,A03.8,Other shigellosis
category,2,I,A03.9,"Shigellosis, unspecified"
category,1,I,A04,Other bacterial intestinal infections
category,2,I,A04.0,Enteropathogenic Escherichia coli infection
category,2,I,A04.1,Enterotoxigenic Escherichia coli infection
category,2,I,A04.2,Enteroinvasive Escherichia coli infection
category,2,I,A04.3,Enterohaemorrhagic Escherichia coli infection
category,2,I,A04.4,Other intestinal Escherichia coli infections
category,2,I,A04.5,Campylobacter enteritis
category,2,I,A04.6,Enteritis due to Yersinia enterocolitica
category,2,I,A04.7,Enterocolitis due to Clostridium difficile
category,2,I,A04.8,Other specified bacterial intestinal infections
category,2,I,A04.9,"Bacterial intestinal infection, unspecified"
category,1,I,A05,"Other bacterial foodborne intoxications, not elsewhere classified"
category,2,I,A05.0,Foodborne staphylococcal intoxication
category,2,I,A05.1,Botulism
category,2,I,A05.2,Foodborne Clostridium perfringens [Clostridium welchii] intoxication
category,2,I,A05.3,Foodborne Vibrio parahaemolyticus intoxication
category,2,I,A05.4,Foodborne Bacillus cereus intoxication
category,2,I,A05.8,Other specified bacterial foodborne intoxications
category,2,I,A05.9,"Bacterial foodborne intoxication, unspecified"
category,1,I,A06,Amoebiasis
category,2,I,A06.0,Acute amoebic dysentery
category,2,I,A06.1,Chronic intestinal amoebiasis
category,2,I,A06.2,Amoebic nondysenteric colitis
category,2,I,A06.3,Amoeboma of intestine
category,2,I,A06.4,Amoebic liver abscess
category,2,I,A06.5,Amoebic lung abscess
category,2,I,A06.6,Amoebic brain abscess
category,2,I,A06.7,Cutaneous amoebiasis
category,2,I,A06.8,Amoebic infection of other sites
category,2,I,A06.9,"Amoebiasis, unspecified"
category,1,I,A07,Other protozoal intestinal diseases
category,2,I,A07.0,Balantidiasis
category,2,I,A07.1,Giardiasis [lambliasis]
category,2,I,A07.2,Cryptosporidiosis
category,2,I,A07.3,Isosporiasis
category,2,I,A07.8,Other specified protozoal intestinal diseases
category,2,I,A07.9,"Protozoal intestinal disease, unspecified"
category,1,I,A08,Viral and other specified intestinal infections
category,2,I,A08.0,Rotaviral enteritis
category,2,I,A08.1,Acute gastroenteropathy due to Norovirus
category,2,I,A08.2,Adenoviral enteritis
category,2,I,A08.3,Other viral enteritis
category,2,I,A08.4,"Viral intestinal infection, unspecified"
category,2,I,A08.5,Other specified intestinal infections
category,1,I,A09,Other gastroenteritis and colitis of infectious and unspecified origin
category,2,I,A09.0,Other and unspecified gastroenteritis and colitis of infectious origin
category,2,I,A09.9,Gastroenteritis and colitis of unspecified origin
block,1,I,A15-A19,Tuberculosis
category,1,I,A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed"
category,2,I,A15.0,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture"
category,2,I,A15.1,"Tuberculosis of lung, confirmed by culture only"
category,2,I,A15.2,"Tuberculosis of lung, confirmed histologically"
category,2,I,A15.3,"Tuberculosis of lung, confirmed by unspecified means"
category,2,I,A15.4,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically"
category,2,I,A15.5,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically"
category,2,I,A15.6,"Tuberculous pleurisy, confirmed bacteriologically and histologically"
category,2,I,A15.7,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically"
category,2,I,A15.8,"Other respiratory tuberculosis, confirmed bacteriologically and histologically"
category,2,I,A15.9,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically"
category,1,I,A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically"
category,2,I,A16.0,"Tuberculosis of lung, bacteriologically and histologically negative"
category,2,I,A16.1,"Tuberculosis of lung, bacteriological and histological examination not done"
category,2,I,A16.2,"Tuberculosis of lung, without mention of bacteriological or histological confirmation"
category,2,I,A16.3,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation"
category,2,I,A16.4,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation"
category,2,I,A16.5,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation"
category,2,I,A16.7,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation
category,2,I,A16.8,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation"
category,2,I,A16.9,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"
category,1,I,A17,Tuberculosis of nervous system
category,2,I,A17.0,Tuberculous meningitis
category,2,I,A17.1,Meningeal tuberculoma
category,2,I,A17.8,Other tuberculosis of nervous system
category,2,I,A17.9,"Tuberculosis of nervous system, unspecified"
category,1,I,A18,Tuberculosis of other organs
category,2,I,A18.0,Tuberculosis of bones and joints
category,2,I,A18.1,Tuberculosis of genitourinary system
