wva2016_group,wva2016_code,wva2016_group_title,wva2016_title,icd10_range,icd10_code
1,01.04,Infectious and parasitic diseases,Diarrheal diseases,A00-09,A00
1,01.04,Infectious and parasitic diseases,Diarrheal diseases,A00-09,A01
1,01.04,Infectious and parasitic diseases,Diarrheal diseases,A00-09,A02
1,01.04,Infectious and parasitic diseases,Diarrheal diseases,A00-09,A03
1,01.04,Infectious and parasitic diseases,Diarrheal diseases,A00-09,A04
1,01.04,Infectious and parasitic diseases,Diarrheal diseases,A00-09,A05
1,01.04,Infectious and parasitic diseases,Diarrheal diseases,A00-09,A06
1,01.04,Infectious and parasitic diseases,Diarrheal diseases,A00-09,A07
1,01.04,Infectious and parasitic diseases,Diarrheal diseases,A00-09,A08
1,01.04,Infectious and parasitic diseases,Diarrheal diseases,A00-09,A09
1,01.09,Infectious and parasitic diseases,Pulmonary tuberculosis,A15-16,A15
1,01.09,Infectious and parasitic diseases,Pulmonary tuberculosis,A15-16,A16
1,01.99,Infectious and parasitic diseases,Unspecified infectious disease,"A17-38,A42-89,B00-19,B25-49,B55-99",A17
1,01.99,Infectious and parasitic diseases,Unspecified infectious disease,"A17-38,A42-89,B00-19,B25-49,B55-99",A18
1,01.99,Infectious and parasitic diseases,Unspecified infectious disease,"A17-38,A42-89,B00-19,B25-49,B55-99",A19
1,01.99,Infectious and parasitic diseases,Unspecified infectious disease,"A17-38,A42-89,B00-19,B25-49,B55-99",A20
1,01.99,Infectious and parasitic diseases,Unspecified infectious disease,"A17-38,A42-89,B00-19,B25-49,B55-99",A21
1,01.99,Infectious and parasitic diseases,Unspecified infectious disease,"A17-38,A42-89,B00-19,B25-49,B55-99",A22
1,01.99,Infectious and parasitic diseases,Unspecified infectious disease,"A17-38,A42-89,B00-19,B25-49,B55-99",A23
1,01.99,Infectious and parasitic diseases,Unspecified infectious disease,"A17-38,A42-89,B00-19,B25-49,B55-99",A24
1,01.99,Infectious and parasitic diseases,Unspecified infectious disease,"A17-38,A42-89,B00-19,B25-49,B55-99",A25
1,01.99,Infectious and parasitic diseases,Unspecified infectious disease,"A17-38,A42-89,B00-19,B25-49,B55-99",A26
1,01.99,Infectious and parasitic diseases,Unspecified infectious disease,"A17-38,A42-89,B00-19,B25-49,B55-99",A27
1,01.99,Infectious and parasitic diseases,Unspecified infectious disease,"A17-38,A42-89,B00-19,B25-49,B55-99",A28
1,01.99,Infectious and parasitic diseases,Unspecified infectious disease,"A17-38,A42-89,B00-19,B25-49,B55-99",A29
1,01.99,Infectious and parasitic diseases,Unspecified infectious disease,"A17-38,A42-89,B00-19,B25-49,B55-99",A30
1,01.99,Infectious and parasitic diseases,Unspecified infectious disease,"A17-38,A42-89,B00-19,B25-49,B55-99",A31
1,01.99,Infectious and parasitic diseases,Unspecified infectious disease,"A17-38,A42-89,B00-19,B25-49,B55-99",A32
1,01.99,Infectious and parasitic diseases,Unspecified infectious disease,"A17-38,A42-89,B00-19,B25-49,B55-99",A33
1,01.99,Infectious and parasitic diseases,Unspecified infectious disease,"A17-38,A42-89,B00-19,B25-49,B55-99",A34
1,01.99,Infectious and parasitic diseases,Unspecified infectious disease,"A17-38,A42-89,B00-19,B25-49,B55-99",A35
1,01.99,Infectious and parasitic diseases,Unspecified infectious disease,"A17-38,A42-89,B00-19,B25-49,B55-99",A36
1,01.99,Infectious and parasitic diseases,Unspecified infectious disease,"A17-38,A42-89,B00-19,B25-49,B55-99",A37
1,01.99,Infectious and parasitic diseases,Unspecified infectious disease,"A17-38,A42-89,B00-19,B25-49,B55-99",A38
1,01.99,Infectious and parasitic diseases,Unspecified infectious disease,"A17-38,A42-89,B00-19,B25-49,B55-99",A42
1,01.99,Infectious and parasitic diseases,Unspecified infectious disease,"A17-38,A42-89,B00-19,B25-49,B55-99",A43
1,01.99,Infectious and parasitic diseases,Unspecified infectious disease,"A17-38,A42-89,B00-19,B25-49,B55-99",A44
1,01.99,Infectious and parasitic diseases,Unspecified infectious disease,"A17-38,A42-89,B00-19,B25-49,B55-99",A45
1,01.99,Infectious and parasitic diseases,Unspecified infectious disease,"A17-38,A42-89,B00-19,B25-49,B55-99",A46
1,01.99,Infectious and parasitic diseases,Unspecified infectious disease,"A17-38,A42-89,B00-19,B25-49,B55-99",A47
1,01.99,Infectious and parasitic diseases,Unspecified infectious disease,"A17-38,A42-89,B00-19,B25-49,B55-99",A48
1,01.99,Infectious and parasitic diseases,Unspecified infectious disease,"A17-38,A42-89,B00-19,B25-49,B55-99",A49
1,01.99,Infectious and parasitic diseases,Unspecified infectious disease,"A17-38,A42-89,B00-19,B25-49,B55-99",A50
1,01.99,Infectious and parasitic diseases,Unspecified infectious disease,"A17-38,A42-89,B00-19,B25-49,B55-99",A51
1,01.99,Infectious and parasitic diseases,Unspecified infectious disease,"A17-38,A42-89,B00-19,B25-49,B55-99",A52
