"cod","icd10_range","icd10"
"Diarrhoeal diseases","A00-A09","A00"
"Diarrhoeal diseases","A00-A09","A01"
"Diarrhoeal diseases","A00-A09","A02"
"Diarrhoeal diseases","A00-A09","A03"
"Diarrhoeal diseases","A00-A09","A04"
"Diarrhoeal diseases","A00-A09","A05"
"Diarrhoeal diseases","A00-A09","A06"
"Diarrhoeal diseases","A00-A09","A07"
"Diarrhoeal diseases","A00-A09","A08"
"Diarrhoeal diseases","A00-A09","A09"
"Other infections","A15-A28","A15"
"Other infections","A15-A28","A16"
"Other infections","A15-A28","A17"
"Other infections","A15-A28","A18"
"Other infections","A15-A28","A19"
"Other infections","A15-A28","A20"
"Other infections","A15-A28","A21"
"Other infections","A15-A28","A22"
"Other infections","A15-A28","A23"
"Other infections","A15-A28","A24"
"Other infections","A15-A28","A25"
"Other infections","A15-A28","A26"
"Other infections","A15-A28","A27"
"Other infections","A15-A28","A28"
"Other infections","A30-A36","A30"
"Other infections","A30-A36","A31"
"Other infections","A30-A36","A32"
"Other infections","A30-A36","A33"
"Other infections","A30-A36","A34"
"Other infections","A30-A36","A35"
"Other infections","A30-A36","A36"
"Pneumonia","A37","A37"
"Other infections","A38-A44","A38"
"Other infections","A38-A44","A39"
"Other infections","A38-A44","A40"
"Other infections","A38-A44","A41"
"Other infections","A38-A44","A42"
"Other infections","A38-A44","A43"
"Other infections","A38-A44","A44"
"Other infections","A46","A46"
"Other infections","A48-A71","A48"
"Other infections","A48-A71","A49"
"Other infections","A48-A71","A50"
"Other infections","A48-A71","A51"
"Other infections","A48-A71","A52"
"Other infections","A48-A71","A53"
"Other infections","A48-A71","A54"
"Other infections","A48-A71","A55"
"Other infections","A48-A71","A56"
"Other infections","A48-A71","A57"
"Other infections","A48-A71","A58"
"Other infections","A48-A71","A59"
"Other infections","A48-A71","A60"
"Other infections","A48-A71","A61"
"Other infections","A48-A71","A62"
"Other infections","A48-A71","A63"
"Other infections","A48-A71","A64"
