"cod","icd10_range","icd10"
"Neonatal infections","A00-A09","A00"
"Neonatal infections","A00-A09","A01"
"Neonatal infections","A00-A09","A02"
"Neonatal infections","A00-A09","A03"
"Neonatal infections","A00-A09","A04"
"Neonatal infections","A00-A09","A05"
"Neonatal infections","A00-A09","A06"
"Neonatal infections","A00-A09","A07"
"Neonatal infections","A00-A09","A08"
"Neonatal infections","A00-A09","A09"
"Other","A15-A19","A15"
"Other","A15-A19","A16"
"Other","A15-A19","A17"
"Other","A15-A19","A18"
"Other","A15-A19","A19"
"Neonatal infections","A20-A28","A20"
"Neonatal infections","A20-A28","A21"
"Neonatal infections","A20-A28","A22"
"Neonatal infections","A20-A28","A23"
"Neonatal infections","A20-A28","A24"
"Neonatal infections","A20-A28","A25"
"Neonatal infections","A20-A28","A26"
"Neonatal infections","A20-A28","A27"
"Neonatal infections","A20-A28","A28"
"Other","A30-A31","A30"
"Other","A30-A31","A31"
"Neonatal infections","A32-A35","A32"
"Neonatal infections","A32-A35","A33"
"Neonatal infections","A32-A35","A34"
"Neonatal infections","A32-A35","A35"
"Other","A36","A36"
"Neonatal infections","A37-A44","A37"
"Neonatal infections","A37-A44","A38"
"Neonatal infections","A37-A44","A39"
"Neonatal infections","A37-A44","A40"
"Neonatal infections","A37-A44","A41"
"Neonatal infections","A37-A44","A42"
"Neonatal infections","A37-A44","A43"
"Neonatal infections","A37-A44","A44"
"Neonatal infections","A46","A46"
"Neonatal infections","A48-A49","A48"
"Neonatal infections","A48-A49","A49"
"Other","A50-A67","A50"
"Other","A50-A67","A51"
"Other","A50-A67","A52"
"Other","A50-A67","A53"
"Other","A50-A67","A54"
"Other","A50-A67","A55"
"Other","A50-A67","A56"
"Other","A50-A67","A57"
"Other","A50-A67","A58"
"Other","A50-A67","A59"
"Other","A50-A67","A60"
"Other","A50-A67","A61"
"Other","A50-A67","A62"
"Other","A50-A67","A63"
"Other","A50-A67","A64"
"Other","A50-A67","A65"
"Other","A50-A67","A66"
"Other","A50-A67","A67"
"Neonatal infections","A68-A70","A68"
"Neonatal infections","A68-A70","A69"
"Neonatal infections","A68-A70","A70"
"Other","A71","A71"
"Neonatal infections","A74-A75","A74"
"Neonatal infections","A74-A75","A75"
"Neonatal infections","A77-A79","A77"
"Neonatal infections","A77-A79","A78"
"Neonatal infections","A77-A79","A79"
"Other","A80","A80"
"Neonatal infections","A81-A90","A81"
"Neonatal infections","A81-A90","A82"
"Neonatal infections","A81-A90","A83"
"Neonatal infections","A81-A90","A84"
"Neonatal infections","A81-A90","A85"
"Neonatal infections","A81-A90","A86"
"Neonatal infections","A81-A90","A87"
"Neonatal infections","A81-A90","A88"
"Neonatal infections","A81-A90","A89"
"Neonatal infections","A81-A90","A90"
"Other","A91-A99","A91"
"Other","A91-A99","A92"
"Other","A91-A99","A93"
"Other","A91-A99","A94"
"Other","A91-A99","A95"
"Other","A91-A99","A96"
"Other","A91-A99","A97"
"Other","A91-A99","A98"
"Other","A91-A99","A99"
"Other","B00-B09","B00"
"Other","B00-B09","B01"
"Other","B00-B09","B02"
"Other","B00-B09","B03"
"Other","B00-B09","B04"
"Other","B00-B09","B05"
"Other","B00-B09","B06"
"Other","B00-B09","B07"
"Other","B00-B09","B08"
"Other","B00-B09","B09"
"Other","B15-B27","B15"
"Other","B15-B27","B16"
"Other","B15-B27","B17"
"Other","B15-B27","B18"
"Other","B15-B27","B19"
"Other","B15-B27","B20"
"Other","B15-B27","B21"
"Other","B15-B27","B22"
"Other","B15-B27","B23"
"Other","B15-B27","B24"
"Other","B15-B27","B25"
"Other","B15-B27","B26"
"Other","B15-B27","B27"
"Other","B30","B30"
"Other","B33-B53","B33"
"Other","B33-B53","B34"
"Other","B33-B53","B35"
"Other","B33-B53","B36"
"Other","B33-B53","B37"
"Other","B33-B53","B38"
"Other","B33-B53","B39"
"Other","B33-B53","B40"
"Other","B33-B53","B41"
"Other","B33-B53","B42"
"Other","B33-B53","B43"
"Other","B33-B53","B44"
"Other","B33-B53","B45"
"Other","B33-B53","B46"
"Other","B33-B53","B47"
"Other","B33-B53","B48"
"Other","B33-B53","B49"
"Other","B33-B53","B50"
"Other","B33-B53","B51"
"Other","B33-B53","B52"
"Other","B33-B53","B53"
"Neonatal infections","B54","B54"
"Other","B55-B60","B55"
"Other","B55-B60","B56"
"Other","B55-B60","B57"
"Other","B55-B60","B58"
"Other","B55-B60","B59"
"Other","B55-B60","B60"
"Other","B64-B83","B64"
"Other","B64-B83","B65"
"Other","B64-B83","B66"
"Other","B64-B83","B67"
"Other","B64-B83","B68"
"Other","B64-B83","B69"
"Other","B64-B83","B70"
"Other","B64-B83","B71"
"Other","B64-B83","B72"
"Other","B64-B83","B73"
"Other","B64-B83","B74"
"Other","B64-B83","B75"
"Other","B64-B83","B76"
"Other","B64-B83","B77"
"Other","B64-B83","B78"
"Other","B64-B83","B79"
"Other","B64-B83","B80"
"Other","B64-B83","B81"
"Other","B64-B83","B82"
"Other","B64-B83","B83"
"Other","B85-B92","B85"
"Other","B85-B92","B86"
"Other","B85-B92","B87"
"Other","B85-B92","B88"
"Other","B85-B92","B89"
"Other","B85-B92","B90"
"Other","B85-B92","B91"
"Other","B85-B92","B92"
"Other","B94","B94"
"Neonatal infections","B95-B96","B95"
"Neonatal infections","B95-B96","B96"
"Other","B97","B97"
"Other","B99","B99"
"Other","C00-C75","C00"
"Other","C00-C75","C01"
"Other","C00-C75","C02"
"Other","C00-C75","C03"
"Other","C00-C75","C04"
"Other","C00-C75","C05"
"Other","C00-C75","C06"
"Other","C00-C75","C07"
"Other","C00-C75","C08"
"Other","C00-C75","C09"
"Other","C00-C75","C10"
"Other","C00-C75","C11"
"Other","C00-C75","C12"
"Other","C00-C75","C13"
"Other","C00-C75","C14"
"Other","C00-C75","C15"
"Other","C00-C75","C16"
"Other","C00-C75","C17"
"Other","C00-C75","C18"
"Other","C00-C75","C19"
"Other","C00-C75","C20"
"Other","C00-C75","C21"
"Other","C00-C75","C22"
"Other","C00-C75","C23"
"Other","C00-C75","C24"
"Other","C00-C75","C25"
"Other","C00-C75","C26"
"Other","C00-C75","C27"
