icd10_code,cghr_code,cghr_label,wbd10_age,wbd10_kind,wbd10_kind_depth,wbd10_codex4,wbd10_codex2,wbd10_code,wbd10_codex4_title,wbd10_codex2_title,wbd10_title,icd10_range
A00,2,Diarrhoea,child,codex,3,1,1B,1B01,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Diarrhoeal diseases,A00-A09
A01,2,Diarrhoea,child,codex,3,1,1B,1B01,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Diarrhoeal diseases,A00-A09
A02,2,Diarrhoea,child,codex,3,1,1B,1B01,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Diarrhoeal diseases,A00-A09
A03,2,Diarrhoea,child,codex,3,1,1B,1B01,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Diarrhoeal diseases,A00-A09
A04,2,Diarrhoea,child,codex,3,1,1B,1B01,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Diarrhoeal diseases,A00-A09
A05,2,Diarrhoea,child,codex,3,1,1B,1B01,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Diarrhoeal diseases,A00-A09
A06,2,Diarrhoea,child,codex,3,1,1B,1B01,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Diarrhoeal diseases,A00-A09
A07,2,Diarrhoea,child,codex,3,1,1B,1B01,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Diarrhoeal diseases,A00-A09
A08,2,Diarrhoea,child,codex,3,1,1B,1B01,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Diarrhoeal diseases,A00-A09
A09,2,Diarrhoea,child,codex,3,1,1B,1B01,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Diarrhoeal diseases,A00-A09
A15,4,Other Infections,child,codex,3,1,1B,1B02,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Tuberculosis,"A15-A19,B90,J65"
A16,4,Other Infections,child,codex,3,1,1B,1B02,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Tuberculosis,"A15-A19,B90,J65"
A17,4,Other Infections,child,codex,3,1,1B,1B02,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Tuberculosis,"A15-A19,B90,J65"
A18,4,Other Infections,child,codex,3,1,1B,1B02,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Tuberculosis,"A15-A19,B90,J65"
A19,4,Other Infections,child,codex,3,1,1B,1B02,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Tuberculosis,"A15-A19,B90,J65"
A20,4,Other Infections,child,codex,3,1,1A,1A02,"Communicable, perinatal and nutritional conditions",Early childhood infections,Acute bacterial sepsis and severe infections,"A20-A28,A32,A38,A40-A44,A46,A48,A49,A68-A70,A74,A75,A77-A79,B95,B96,H10,H60,I30,I32,I33,I39-I41,K65,K67,K81,L00-L04,L08,M00-M01,M60,M86,N10,N30,N34,N41,N49,N61,P36,P38"
