icdequivalence,icdequivalence_desc,icd10_code
"A00,A01,A02,A03,A04,A05,A06,A07,A08,A09",Diarrhoeal diseases,A00
"A00,A01,A02,A03,A04,A05,A06,A07,A08,A09",Diarrhoeal diseases,A01
"A00,A01,A02,A03,A04,A05,A06,A07,A08,A09",Diarrhoeal diseases,A02
"A00,A01,A02,A03,A04,A05,A06,A07,A08,A09",Diarrhoeal diseases,A03
"A00,A01,A02,A03,A04,A05,A06,A07,A08,A09",Diarrhoeal diseases,A04
"A00,A01,A02,A03,A04,A05,A06,A07,A08,A09",Diarrhoeal diseases,A05
"A00,A01,A02,A03,A04,A05,A06,A07,A08,A09",Diarrhoeal diseases,A06
"A00,A01,A02,A03,A04,A05,A06,A07,A08,A09",Diarrhoeal diseases,A07
"A00,A01,A02,A03,A04,A05,A06,A07,A08,A09",Diarrhoeal diseases,A08
"A00,A01,A02,A03,A04,A05,A06,A07,A08,A09",Diarrhoeal diseases,A09
"A15,A16,A17,A18,A19,B90,J65",Tuberculosis,A15
"A15,A16,A17,A18,A19,B90,J65",Tuberculosis,A16
"A15,A16,A17,A18,A19,B90,J65",Tuberculosis,A17
"A15,A16,A17,A18,A19,B90,J65",Tuberculosis,A18
"A15,A16,A17,A18,A19,B90,J65",Tuberculosis,A19
"A15,A16,A17,A18,A19,B90,J65",Tuberculosis,B90
"A15,A16,A17,A18,A19,B90,J65",Tuberculosis,J65
"A20,A21,A22,A23,A24,A25,A26,A27,A28,A31,U80,U81,U88,U89",Severe systemic infections,A20
"A20,A21,A22,A23,A24,A25,A26,A27,A28,A31,U80,U81,U88,U89",Severe systemic infections,A21
"A20,A21,A22,A23,A24,A25,A26,A27,A28,A31,U80,U81,U88,U89",Severe systemic infections,A22
"A20,A21,A22,A23,A24,A25,A26,A27,A28,A31,U80,U81,U88,U89",Severe systemic infections,A23
"A20,A21,A22,A23,A24,A25,A26,A27,A28,A31,U80,U81,U88,U89",Severe systemic infections,A24
"A20,A21,A22,A23,A24,A25,A26,A27,A28,A31,U80,U81,U88,U89",Severe systemic infections,A25
"A20,A21,A22,A23,A24,A25,A26,A27,A28,A31,U80,U81,U88,U89",Severe systemic infections,A26
"A20,A21,A22,A23,A24,A25,A26,A27,A28,A31,U80,U81,U88,U89",Severe systemic infections,A27
"A20,A21,A22,A23,A24,A25,A26,A27,A28,A31,U80,U81,U88,U89",Severe systemic infections,A28
"A20,A21,A22,A23,A24,A25,A26,A27,A28,A31,U80,U81,U88,U89",Severe systemic infections,A31
"A20,A21,A22,A23,A24,A25,A26,A27,A28,A31,U80,U81,U88,U89",Severe systemic infections,U80
"A20,A21,A22,A23,A24,A25,A26,A27,A28,A31,U80,U81,U88,U89",Severe systemic infections,U81
"A20,A21,A22,A23,A24,A25,A26,A27,A28,A31,U80,U81,U88,U89",Severe systemic infections,U88
"A20,A21,A22,A23,A24,A25,A26,A27,A28,A31,U80,U81,U88,U89",Severe systemic infections,U89
"A30,B92",Leprosy,A30
"A30,B92",Leprosy,B92
"A33,A35",Tetanus,A33
"A33,A35",Tetanus,A35
"A36,A37,B26",Other vaccine preventable diseases (1),A36
"A36,A37,B26",Other vaccine preventable diseases (1),A37
"A36,A37,B26",Other vaccine preventable diseases (1),B26
"A39,A81,A83,A84,A85,A86,A87,A88,A89,G00,G01,G02,G03,G04,G05,G06,G07,G08,G09",Meningitis/Encephalitis,A39
"A39,A81,A83,A84,A85,A86,A87,A88,A89,G00,G01,G02,G03,G04,G05,G06,G07,G08,G09",Meningitis/Encephalitis,A81
"A39,A81,A83,A84,A85,A86,A87,A88,A89,G00,G01,G02,G03,G04,G05,G06,G07,G08,G09",Meningitis/Encephalitis,A83
"A39,A81,A83,A84,A85,A86,A87,A88,A89,G00,G01,G02,G03,G04,G05,G06,G07,G08,G09",Meningitis/Encephalitis,A84
"A39,A81,A83,A84,A85,A86,A87,A88,A89,G00,G01,G02,G03,G04,G05,G06,G07,G08,G09",Meningitis/Encephalitis,A85
"A39,A81,A83,A84,A85,A86,A87,A88,A89,G00,G01,G02,G03,G04,G05,G06,G07,G08,G09",Meningitis/Encephalitis,A86
"A39,A81,A83,A84,A85,A86,A87,A88,A89,G00,G01,G02,G03,G04,G05,G06,G07,G08,G09",Meningitis/Encephalitis,A87
"A39,A81,A83,A84,A85,A86,A87,A88,A89,G00,G01,G02,G03,G04,G05,G06,G07,G08,G09",Meningitis/Encephalitis,A88
"A39,A81,A83,A84,A85,A86,A87,A88,A89,G00,G01,G02,G03,G04,G05,G06,G07,G08,G09",Meningitis/Encephalitis,A89
"A39,A81,A83,A84,A85,A86,A87,A88,A89,G00,G01,G02,G03,G04,G05,G06,G07,G08,G09",Meningitis/Encephalitis,G00
"A39,A81,A83,A84,A85,A86,A87,A88,A89,G00,G01,G02,G03,G04,G05,G06,G07,G08,G09",Meningitis/Encephalitis,G01
"A39,A81,A83,A84,A85,A86,A87,A88,A89,G00,G01,G02,G03,G04,G05,G06,G07,G08,G09",Meningitis/Encephalitis,G02
"A39,A81,A83,A84,A85,A86,A87,A88,A89,G00,G01,G02,G03,G04,G05,G06,G07,G08,G09",Meningitis/Encephalitis,G03
"A39,A81,A83,A84,A85,A86,A87,A88,A89,G00,G01,G02,G03,G04,G05,G06,G07,G08,G09",Meningitis/Encephalitis,G04
"A39,A81,A83,A84,A85,A86,A87,A88,A89,G00,G01,G02,G03,G04,G05,G06,G07,G08,G09",Meningitis/Encephalitis,G05
"A39,A81,A83,A84,A85,A86,A87,A88,A89,G00,G01,G02,G03,G04,G05,G06,G07,G08,G09",Meningitis/Encephalitis,G06
"A39,A81,A83,A84,A85,A86,A87,A88,A89,G00,G01,G02,G03,G04,G05,G06,G07,G08,G09",Meningitis/Encephalitis,G07
"A39,A81,A83,A84,A85,A86,A87,A88,A89,G00,G01,G02,G03,G04,G05,G06,G07,G08,G09",Meningitis/Encephalitis,G08
"A39,A81,A83,A84,A85,A86,A87,A88,A89,G00,G01,G02,G03,G04,G05,G06,G07,G08,G09",Meningitis/Encephalitis,G09
"A50,A65,A66,A67,A69",Other infectious diseases (1),A50
"A50,A65,A66,A67,A69",Other infectious diseases (1),A65
"A50,A65,A66,A67,A69",Other infectious diseases (1),A66
"A50,A65,A66,A67,A69",Other infectious diseases (1),A67
"A50,A65,A66,A67,A69",Other infectious diseases (1),A69
"A51,A52,A53",Syphilis,A51
"A51,A52,A53",Syphilis,A52
"A51,A52,A53",Syphilis,A53
"A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,A64,N70,N71,N72,N73,N74",Other sexually transmitted infections (excl. HIV/AIDS),A54
"A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,A64,N70,N71,N72,N73,N74",Other sexually transmitted infections (excl. HIV/AIDS),A55
"A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,A64,N70,N71,N72,N73,N74",Other sexually transmitted infections (excl. HIV/AIDS),A56
"A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,A64,N70,N71,N72,N73,N74",Other sexually transmitted infections (excl. HIV/AIDS),A57
"A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,A64,N70,N71,N72,N73,N74",Other sexually transmitted infections (excl. HIV/AIDS),A58
"A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,A64,N70,N71,N72,N73,N74",Other sexually transmitted infections (excl. HIV/AIDS),A59
"A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,A64,N70,N71,N72,N73,N74",Other sexually transmitted infections (excl. HIV/AIDS),A60
"A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,A64,N70,N71,N72,N73,N74",Other sexually transmitted infections (excl. HIV/AIDS),A61
"A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,A64,N70,N71,N72,N73,N74",Other sexually transmitted infections (excl. HIV/AIDS),A62
"A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,A64,N70,N71,N72,N73,N74",Other sexually transmitted infections (excl. HIV/AIDS),A63
"A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,A64,N70,N71,N72,N73,N74",Other sexually transmitted infections (excl. HIV/AIDS),A64
"A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,A64,N70,N71,N72,N73,N74",Other sexually transmitted infections (excl. HIV/AIDS),N70
"A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,A64,N70,N71,N72,N73,N74",Other sexually transmitted infections (excl. HIV/AIDS),N71
"A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,A64,N70,N71,N72,N73,N74",Other sexually transmitted infections (excl. HIV/AIDS),N72
"A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,A64,N70,N71,N72,N73,N74",Other sexually transmitted infections (excl. HIV/AIDS),N73
"A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,A64,N70,N71,N72,N73,N74",Other sexually transmitted infections (excl. HIV/AIDS),N74
"A80,B91",Poliomyelitis,A80
"A80,B91",Poliomyelitis,B91
"A90,A91,A92,A93,A94,A95,A96,A98,A99",Arthropod-borne viral fevers,A90
"A90,A91,A92,A93,A94,A95,A96,A98,A99",Arthropod-borne viral fevers,A91
"A90,A91,A92,A93,A94,A95,A96,A98,A99",Arthropod-borne viral fevers,A92
"A90,A91,A92,A93,A94,A95,A96,A98,A99",Arthropod-borne viral fevers,A93
"A90,A91,A92,A93,A94,A95,A96,A98,A99",Arthropod-borne viral fevers,A94
"A90,A91,A92,A93,A94,A95,A96,A98,A99",Arthropod-borne viral fevers,A95
"A90,A91,A92,A93,A94,A95,A96,A98,A99",Arthropod-borne viral fevers,A96
"A90,A91,A92,A93,A94,A95,A96,A98,A99",Arthropod-borne viral fevers,A98
"A90,A91,A92,A93,A94,A95,A96,A98,A99",Arthropod-borne viral fevers,A99
"B00,B02,B04,B07,B08,B09,B25,B27,B30,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49",Other infectious diseases (2),B00
"B00,B02,B04,B07,B08,B09,B25,B27,B30,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49",Other infectious diseases (2),B02
"B00,B02,B04,B07,B08,B09,B25,B27,B30,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49",Other infectious diseases (2),B04
"B00,B02,B04,B07,B08,B09,B25,B27,B30,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49",Other infectious diseases (2),B07
"B00,B02,B04,B07,B08,B09,B25,B27,B30,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49",Other infectious diseases (2),B08
"B00,B02,B04,B07,B08,B09,B25,B27,B30,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49",Other infectious diseases (2),B09
"B00,B02,B04,B07,B08,B09,B25,B27,B30,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49",Other infectious diseases (2),B25
"B00,B02,B04,B07,B08,B09,B25,B27,B30,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49",Other infectious diseases (2),B27
"B00,B02,B04,B07,B08,B09,B25,B27,B30,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49",Other infectious diseases (2),B30
"B00,B02,B04,B07,B08,B09,B25,B27,B30,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49",Other infectious diseases (2),B33
"B00,B02,B04,B07,B08,B09,B25,B27,B30,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49",Other infectious diseases (2),B34
"B00,B02,B04,B07,B08,B09,B25,B27,B30,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49",Other infectious diseases (2),B35
"B00,B02,B04,B07,B08,B09,B25,B27,B30,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49",Other infectious diseases (2),B36
"B00,B02,B04,B07,B08,B09,B25,B27,B30,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49",Other infectious diseases (2),B37
"B00,B02,B04,B07,B08,B09,B25,B27,B30,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49",Other infectious diseases (2),B38
"B00,B02,B04,B07,B08,B09,B25,B27,B30,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49",Other infectious diseases (2),B39
"B00,B02,B04,B07,B08,B09,B25,B27,B30,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49",Other infectious diseases (2),B40
"B00,B02,B04,B07,B08,B09,B25,B27,B30,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49",Other infectious diseases (2),B41
"B00,B02,B04,B07,B08,B09,B25,B27,B30,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49",Other infectious diseases (2),B42
"B00,B02,B04,B07,B08,B09,B25,B27,B30,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49",Other infectious diseases (2),B43
"B00,B02,B04,B07,B08,B09,B25,B27,B30,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49",Other infectious diseases (2),B44
"B00,B02,B04,B07,B08,B09,B25,B27,B30,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49",Other infectious diseases (2),B45
"B00,B02,B04,B07,B08,B09,B25,B27,B30,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49",Other infectious diseases (2),B46
"B00,B02,B04,B07,B08,B09,B25,B27,B30,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49",Other infectious diseases (2),B47
"B00,B02,B04,B07,B08,B09,B25,B27,B30,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49",Other infectious diseases (2),B48
"B00,B02,B04,B07,B08,B09,B25,B27,B30,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49",Other infectious diseases (2),B49
"B01,B05",Measles,B01
"B01,B05",Measles,B05
"B03,B06",Other vaccine preventable diseases (2),B03
"B03,B06",Other vaccine preventable diseases (2),B06
"B15,B16,B17,B18,B19",Hepatitis,B15
"B15,B16,B17,B18,B19",Hepatitis,B16
"B15,B16,B17,B18,B19",Hepatitis,B17
"B15,B16,B17,B18,B19",Hepatitis,B18
"B15,B16,B17,B18,B19",Hepatitis,B19
"B20,B21,B22,B23,B24,C46,D84,R75",HIV/AIDS,B20
"B20,B21,B22,B23,B24,C46,D84,R75",HIV/AIDS,B21
"B20,B21,B22,B23,B24,C46,D84,R75",HIV/AIDS,B22
"B20,B21,B22,B23,B24,C46,D84,R75",HIV/AIDS,B23
"B20,B21,B22,B23,B24,C46,D84,R75",HIV/AIDS,B24
"B20,B21,B22,B23,B24,C46,D84,R75",HIV/AIDS,C46
"B20,B21,B22,B23,B24,C46,D84,R75",HIV/AIDS,D84
"B20,B21,B22,B23,B24,C46,D84,R75",HIV/AIDS,R75
"B50,B51,B52,B53,B54",Malaria,B50
"B50,B51,B52,B53,B54",Malaria,B51
"B50,B51,B52,B53,B54",Malaria,B52
"B50,B51,B52,B53,B54",Malaria,B53
"B50,B51,B52,B53,B54",Malaria,B54
"B55,B56,B57,B58,B60,B64",Protozoal diseases,B55
"B55,B56,B57,B58,B60,B64",Protozoal diseases,B56
"B55,B56,B57,B58,B60,B64",Protozoal diseases,B57
"B55,B56,B57,B58,B60,B64",Protozoal diseases,B58
"B55,B56,B57,B58,B60,B64",Protozoal diseases,B60
"B55,B56,B57,B58,B60,B64",Protozoal diseases,B64
"B65,B66,B67,B68,B69,B70,B71,B72,B73,B74,B75,B76,B77,B78,B79,B80,B81,B82,B83",Helminthiases,B65
"B65,B66,B67,B68,B69,B70,B71,B72,B73,B74,B75,B76,B77,B78,B79,B80,B81,B82,B83",Helminthiases,B66
"B65,B66,B67,B68,B69,B70,B71,B72,B73,B74,B75,B76,B77,B78,B79,B80,B81,B82,B83",Helminthiases,B67
"B65,B66,B67,B68,B69,B70,B71,B72,B73,B74,B75,B76,B77,B78,B79,B80,B81,B82,B83",Helminthiases,B68
"B65,B66,B67,B68,B69,B70,B71,B72,B73,B74,B75,B76,B77,B78,B79,B80,B81,B82,B83",Helminthiases,B69
"B65,B66,B67,B68,B69,B70,B71,B72,B73,B74,B75,B76,B77,B78,B79,B80,B81,B82,B83",Helminthiases,B70
"B65,B66,B67,B68,B69,B70,B71,B72,B73,B74,B75,B76,B77,B78,B79,B80,B81,B82,B83",Helminthiases,B71
"B65,B66,B67,B68,B69,B70,B71,B72,B73,B74,B75,B76,B77,B78,B79,B80,B81,B82,B83",Helminthiases,B72
"B65,B66,B67,B68,B69,B70,B71,B72,B73,B74,B75,B76,B77,B78,B79,B80,B81,B82,B83",Helminthiases,B73
"B65,B66,B67,B68,B69,B70,B71,B72,B73,B74,B75,B76,B77,B78,B79,B80,B81,B82,B83",Helminthiases,B74
"B65,B66,B67,B68,B69,B70,B71,B72,B73,B74,B75,B76,B77,B78,B79,B80,B81,B82,B83",Helminthiases,B75
"B65,B66,B67,B68,B69,B70,B71,B72,B73,B74,B75,B76,B77,B78,B79,B80,B81,B82,B83",Helminthiases,B76
"B65,B66,B67,B68,B69,B70,B71,B72,B73,B74,B75,B76,B77,B78,B79,B80,B81,B82,B83",Helminthiases,B77
