cghr10_title,icd10_range,icd10_code,cghr10_age
Diarrhoeal diseases,A00-A09,A00,adult
Diarrhoeal diseases,A00-A09,A01,adult
Diarrhoeal diseases,A00-A09,A02,adult
Diarrhoeal diseases,A00-A09,A03,adult
Diarrhoeal diseases,A00-A09,A04,adult
Diarrhoeal diseases,A00-A09,A05,adult
Diarrhoeal diseases,A00-A09,A06,adult
Diarrhoeal diseases,A00-A09,A07,adult
Diarrhoeal diseases,A00-A09,A08,adult
Diarrhoeal diseases,A00-A09,A09,adult
Tuberculosis,A15-A16,A15,adult
Tuberculosis,A15-A16,A16,adult
Unspecified infections,A17-A33,A17,adult
Unspecified infections,A17-A33,A18,adult
Unspecified infections,A17-A33,A19,adult
Unspecified infections,A17-A33,A20,adult
Unspecified infections,A17-A33,A21,adult
Unspecified infections,A17-A33,A22,adult
Unspecified infections,A17-A33,A23,adult
Unspecified infections,A17-A33,A24,adult
Unspecified infections,A17-A33,A25,adult
Unspecified infections,A17-A33,A26,adult
Unspecified infections,A17-A33,A27,adult
Unspecified infections,A17-A33,A28,adult
Unspecified infections,A17-A33,A29,adult
Unspecified infections,A17-A33,A30,adult
Unspecified infections,A17-A33,A31,adult
Unspecified infections,A17-A33,A32,adult
Unspecified infections,A17-A33,A33,adult
Maternal conditions,A34,A34,adult
Unspecified infections,A35-A99,A35,adult
Unspecified infections,A35-A99,A36,adult
Unspecified infections,A35-A99,A37,adult
Unspecified infections,A35-A99,A38,adult
Unspecified infections,A35-A99,A39,adult
Unspecified infections,A35-A99,A40,adult
Unspecified infections,A35-A99,A41,adult
Unspecified infections,A35-A99,A42,adult
Unspecified infections,A35-A99,A43,adult
Unspecified infections,A35-A99,A44,adult
Unspecified infections,A35-A99,A45,adult
Unspecified infections,A35-A99,A46,adult
Unspecified infections,A35-A99,A47,adult
Unspecified infections,A35-A99,A48,adult
Unspecified infections,A35-A99,A49,adult
Unspecified infections,A35-A99,A50,adult
Unspecified infections,A35-A99,A51,adult
Unspecified infections,A35-A99,A52,adult
Unspecified infections,A35-A99,A53,adult
Unspecified infections,A35-A99,A54,adult
Unspecified infections,A35-A99,A55,adult
Unspecified infections,A35-A99,A56,adult
Unspecified infections,A35-A99,A57,adult
Unspecified infections,A35-A99,A58,adult
Unspecified infections,A35-A99,A59,adult
Unspecified infections,A35-A99,A60,adult
Unspecified infections,A35-A99,A61,adult
Unspecified infections,A35-A99,A62,adult
Unspecified infections,A35-A99,A63,adult
Unspecified infections,A35-A99,A64,adult
Unspecified infections,A35-A99,A65,adult
Unspecified infections,A35-A99,A66,adult
Unspecified infections,A35-A99,A67,adult
Unspecified infections,A35-A99,A68,adult
Unspecified infections,A35-A99,A69,adult
Unspecified infections,A35-A99,A70,adult
Unspecified infections,A35-A99,A71,adult
Unspecified infections,A35-A99,A72,adult
Unspecified infections,A35-A99,A73,adult
Unspecified infections,A35-A99,A74,adult
Unspecified infections,A35-A99,A75,adult
Unspecified infections,A35-A99,A76,adult
Unspecified infections,A35-A99,A77,adult
Unspecified infections,A35-A99,A78,adult
Unspecified infections,A35-A99,A79,adult
Unspecified infections,A35-A99,A80,adult
Unspecified infections,A35-A99,A81,adult
Unspecified infections,A35-A99,A82,adult
Unspecified infections,A35-A99,A83,adult
Unspecified infections,A35-A99,A84,adult
Unspecified infections,A35-A99,A85,adult
Unspecified infections,A35-A99,A86,adult
Unspecified infections,A35-A99,A87,adult
Unspecified infections,A35-A99,A88,adult
Unspecified infections,A35-A99,A89,adult
Unspecified infections,A35-A99,A90,adult
Unspecified infections,A35-A99,A91,adult
Unspecified infections,A35-A99,A92,adult
Unspecified infections,A35-A99,A93,adult
Unspecified infections,A35-A99,A94,adult
Unspecified infections,A35-A99,A95,adult
Unspecified infections,A35-A99,A96,adult
Unspecified infections,A35-A99,A97,adult
Unspecified infections,A35-A99,A98,adult
Unspecified infections,A35-A99,A99,adult
Unspecified infections,B00-B17,B00,adult
Unspecified infections,B00-B17,B01,adult
Unspecified infections,B00-B17,B02,adult
Unspecified infections,B00-B17,B03,adult
Unspecified infections,B00-B17,B04,adult
Unspecified infections,B00-B17,B05,adult
Unspecified infections,B00-B17,B06,adult
Unspecified infections,B00-B17,B07,adult
Unspecified infections,B00-B17,B08,adult
Unspecified infections,B00-B17,B09,adult
Unspecified infections,B00-B17,B10,adult
Unspecified infections,B00-B17,B11,adult
Unspecified infections,B00-B17,B12,adult
Unspecified infections,B00-B17,B13,adult
Unspecified infections,B00-B17,B14,adult
Unspecified infections,B00-B17,B15,adult
Unspecified infections,B00-B17,B16,adult
Unspecified infections,B00-B17,B17,adult
Liver and alcohol related diseases,B18,B18,adult
Unspecified infections,B19-B49,B19,adult
Unspecified infections,B19-B49,B20,adult
Unspecified infections,B19-B49,B21,adult
Unspecified infections,B19-B49,B22,adult
Unspecified infections,B19-B49,B23,adult
Unspecified infections,B19-B49,B24,adult
Unspecified infections,B19-B49,B25,adult
Unspecified infections,B19-B49,B26,adult
Unspecified infections,B19-B49,B27,adult
Unspecified infections,B19-B49,B28,adult
Unspecified infections,B19-B49,B29,adult
Unspecified infections,B19-B49,B30,adult
Unspecified infections,B19-B49,B31,adult
Unspecified infections,B19-B49,B32,adult
Unspecified infections,B19-B49,B33,adult
Unspecified infections,B19-B49,B34,adult
Unspecified infections,B19-B49,B35,adult
Unspecified infections,B19-B49,B36,adult
Unspecified infections,B19-B49,B37,adult
Unspecified infections,B19-B49,B38,adult
Unspecified infections,B19-B49,B39,adult
Unspecified infections,B19-B49,B40,adult
Unspecified infections,B19-B49,B41,adult
Unspecified infections,B19-B49,B42,adult
Unspecified infections,B19-B49,B43,adult
Unspecified infections,B19-B49,B44,adult
Unspecified infections,B19-B49,B45,adult
Unspecified infections,B19-B49,B46,adult
Unspecified infections,B19-B49,B47,adult
Unspecified infections,B19-B49,B48,adult
Unspecified infections,B19-B49,B49,adult
Malaria,B50-B54,B50,adult
Malaria,B50-B54,B51,adult
Malaria,B50-B54,B52,adult
Malaria,B50-B54,B53,adult
Malaria,B50-B54,B54,adult
Unspecified infections,B55-B89,B55,adult
Unspecified infections,B55-B89,B56,adult
Unspecified infections,B55-B89,B57,adult
Unspecified infections,B55-B89,B58,adult
Unspecified infections,B55-B89,B59,adult
Unspecified infections,B55-B89,B60,adult
Unspecified infections,B55-B89,B61,adult
Unspecified infections,B55-B89,B62,adult
Unspecified infections,B55-B89,B63,adult
Unspecified infections,B55-B89,B64,adult
Unspecified infections,B55-B89,B65,adult
Unspecified infections,B55-B89,B66,adult
Unspecified infections,B55-B89,B67,adult
Unspecified infections,B55-B89,B68,adult
Unspecified infections,B55-B89,B69,adult
Unspecified infections,B55-B89,B70,adult
