"WHO_VA_code","WHO_VA_title","icd_range_codes_2016","icd_range_codes_2016_expand","WHO_VA_code_num"
"VAs-01.04 ","Diarrheal diseases ","A00-A09 ","A00","01.04 "
"VAs-01.04 ","Diarrheal diseases ","A00-A09 ","A01","01.04 "
"VAs-01.04 ","Diarrheal diseases ","A00-A09 ","A02","01.04 "
"VAs-01.04 ","Diarrheal diseases ","A00-A09 ","A03","01.04 "
"VAs-01.04 ","Diarrheal diseases ","A00-A09 ","A04","01.04 "
"VAs-01.04 ","Diarrheal diseases ","A00-A09 ","A05","01.04 "
"VAs-01.04 ","Diarrheal diseases ","A00-A09 ","A06","01.04 "
"VAs-01.04 ","Diarrheal diseases ","A00-A09 ","A07","01.04 "
"VAs-01.04 ","Diarrheal diseases ","A00-A09 ","A08","01.04 "
"VAs-01.04 ","Diarrheal diseases ","A00-A09 ","A09","01.04 "
"VAs-01.09 ","Pulmonary tuberculosis ","A15-A16 ","A15","01.09 "
"VAs-01.09 ","Pulmonary tuberculosis ","A15-A16 ","A16","01.09 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","A17","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","A18","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","A19","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","A20","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","A21","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","A22","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","A23","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","A24","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","A25","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","A26","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","A27","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","A28","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","A29","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","A30","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","A31","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","A32","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","A36","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","A38","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","A42","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","A43","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","A44","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","A45","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","A46","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","A47","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","A48","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","A49","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","A50","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","A51","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","A52","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","A53","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","A54","01.99 "
