wva2016_group,wva2016_code,wva2016_group_title,wva2016_title,icd10_range,icd10_code
01,01.04,Infectious and parasitic diseases,Diarrheal diseases,A00-09,A00
01,01.04,Infectious and parasitic diseases,Diarrheal diseases,A00-09,A01
01,01.04,Infectious and parasitic diseases,Diarrheal diseases,A00-09,A02
01,01.04,Infectious and parasitic diseases,Diarrheal diseases,A00-09,A03
01,01.04,Infectious and parasitic diseases,Diarrheal diseases,A00-09,A04
01,01.04,Infectious and parasitic diseases,Diarrheal diseases,A00-09,A05
01,01.04,Infectious and parasitic diseases,Diarrheal diseases,A00-09,A06
01,01.04,Infectious and parasitic diseases,Diarrheal diseases,A00-09,A07
01,01.04,Infectious and parasitic diseases,Diarrheal diseases,A00-09,A08
01,01.04,Infectious and parasitic diseases,Diarrheal diseases,A00-09,A09
01,01.09,Infectious and parasitic diseases,Pulmonary tuberculosis,A15-16,A15
01,01.09,Infectious and parasitic diseases,Pulmonary tuberculosis,A15-16,A16
01,01.99,Infectious and parasitic diseases,Unspecified infectious disease,"A17-38,A42-89,B00-19,B25-49,B55-99",A17
01,01.99,Infectious and parasitic diseases,Unspecified infectious disease,"A17-38,A42-89,B00-19,B25-49,B55-99",A18
01,01.99,Infectious and parasitic diseases,Unspecified infectious disease,"A17-38,A42-89,B00-19,B25-49,B55-99",A19
01,01.99,Infectious and parasitic diseases,Unspecified infectious disease,"A17-38,A42-89,B00-19,B25-49,B55-99",A20
01,01.99,Infectious and parasitic diseases,Unspecified infectious disease,"A17-38,A42-89,B00-19,B25-49,B55-99",A21
01,01.99,Infectious and parasitic diseases,Unspecified infectious disease,"A17-38,A42-89,B00-19,B25-49,B55-99",A22
01,01.99,Infectious and parasitic diseases,Unspecified infectious disease,"A17-38,A42-89,B00-19,B25-49,B55-99",A23
01,01.99,Infectious and parasitic diseases,Unspecified infectious disease,"A17-38,A42-89,B00-19,B25-49,B55-99",A24
01,01.99,Infectious and parasitic diseases,Unspecified infectious disease,"A17-38,A42-89,B00-19,B25-49,B55-99",A25
01,01.99,Infectious and parasitic diseases,Unspecified infectious disease,"A17-38,A42-89,B00-19,B25-49,B55-99",A26
01,01.99,Infectious and parasitic diseases,Unspecified infectious disease,"A17-38,A42-89,B00-19,B25-49,B55-99",A27
01,01.99,Infectious and parasitic diseases,Unspecified infectious disease,"A17-38,A42-89,B00-19,B25-49,B55-99",A28
01,01.99,Infectious and parasitic diseases,Unspecified infectious disease,"A17-38,A42-89,B00-19,B25-49,B55-99",A29
01,01.99,Infectious and parasitic diseases,Unspecified infectious disease,"A17-38,A42-89,B00-19,B25-49,B55-99",A30
