who_va_code,who_va_title,icd_range_codes,icd10_code
01.04,Diarrheal diseases,A00-A09,A00
01.04,Diarrheal diseases,A00-A09,A01
01.04,Diarrheal diseases,A00-A09,A02
01.04,Diarrheal diseases,A00-A09,A03
01.04,Diarrheal diseases,A00-A09,A04
01.04,Diarrheal diseases,A00-A09,A05
01.04,Diarrheal diseases,A00-A09,A06
01.04,Diarrheal diseases,A00-A09,A07
01.04,Diarrheal diseases,A00-A09,A08
01.04,Diarrheal diseases,A00-A09,A09
01.09,Pulmonary tuberculosis,A15-A16,A15
01.09,Pulmonary tuberculosis,A15-A16,A16
01.99,Unspecified infectious disease,A17-A19; A20-A32;,A17
01.99,Unspecified infectious disease,A17-A19; A20-A32;,A18
01.99,Unspecified infectious disease,A17-A19; A20-A32;,A19
01.99,Unspecified infectious disease,A17-A19; A20-A32;,A20
01.99,Unspecified infectious disease,A17-A19; A20-A32;,A21
01.99,Unspecified infectious disease,A17-A19; A20-A32;,A22
01.99,Unspecified infectious disease,A17-A19; A20-A32;,A23
01.99,Unspecified infectious disease,A17-A19; A20-A32;,A24
01.99,Unspecified infectious disease,A17-A19; A20-A32;,A25
01.99,Unspecified infectious disease,A17-A19; A20-A32;,A26
01.99,Unspecified infectious disease,A17-A19; A20-A32;,A27
01.99,Unspecified infectious disease,A17-A19; A20-A32;,A28
01.99,Unspecified infectious disease,A17-A19; A20-A32;,A29
01.99,Unspecified infectious disease,A17-A19; A20-A32;,A30
01.99,Unspecified infectious disease,A17-A19; A20-A32;,A31
01.99,Unspecified infectious disease,A17-A19; A20-A32;,A32
10.05,Neonatal tetanus,A33,A33
01.08,Tetanus12,A33-A35,A33
01.08,Tetanus12,A33-A35,A34
01.08,Tetanus12,A33-A35,A35
,,A36; A38; A42-A89; B00-B04;,A36
,,A36; A38; A42-A89; B00-B04;,A38
,,A36; A38; A42-A89; B00-B04;,A42
,,A36; A38; A42-A89; B00-B04;,A43
,,A36; A38; A42-A89; B00-B04;,A44
,,A36; A38; A42-A89; B00-B04;,A45
,,A36; A38; A42-A89; B00-B04;,A46
,,A36; A38; A42-A89; B00-B04;,A47
,,A36; A38; A42-A89; B00-B04;,A48
,,A36; A38; A42-A89; B00-B04;,A49
,,A36; A38; A42-A89; B00-B04;,A50
,,A36; A38; A42-A89; B00-B04;,A51
,,A36; A38; A42-A89; B00-B04;,A52
,,A36; A38; A42-A89; B00-B04;,A53
,,A36; A38; A42-A89; B00-B04;,A54
,,A36; A38; A42-A89; B00-B04;,A55
,,A36; A38; A42-A89; B00-B04;,A56
,,A36; A38; A42-A89; B00-B04;,A57
,,A36; A38; A42-A89; B00-B04;,A58
,,A36; A38; A42-A89; B00-B04;,A59
,,A36; A38; A42-A89; B00-B04;,A60
,,A36; A38; A42-A89; B00-B04;,A61
,,A36; A38; A42-A89; B00-B04;,A62
,,A36; A38; A42-A89; B00-B04;,A63
,,A36; A38; A42-A89; B00-B04;,A64
,,A36; A38; A42-A89; B00-B04;,A65
,,A36; A38; A42-A89; B00-B04;,A66
,,A36; A38; A42-A89; B00-B04;,A67
,,A36; A38; A42-A89; B00-B04;,A68
,,A36; A38; A42-A89; B00-B04;,A69
,,A36; A38; A42-A89; B00-B04;,A70
,,A36; A38; A42-A89; B00-B04;,A71
,,A36; A38; A42-A89; B00-B04;,A72
,,A36; A38; A42-A89; B00-B04;,A73
,,A36; A38; A42-A89; B00-B04;,A74
,,A36; A38; A42-A89; B00-B04;,A75
,,A36; A38; A42-A89; B00-B04;,A76
,,A36; A38; A42-A89; B00-B04;,A77
,,A36; A38; A42-A89; B00-B04;,A78
,,A36; A38; A42-A89; B00-B04;,A79
,,A36; A38; A42-A89; B00-B04;,A80
,,A36; A38; A42-A89; B00-B04;,A81
,,A36; A38; A42-A89; B00-B04;,A82
,,A36; A38; A42-A89; B00-B04;,A83
,,A36; A38; A42-A89; B00-B04;,A84
,,A36; A38; A42-A89; B00-B04;,A85
,,A36; A38; A42-A89; B00-B04;,A86
,,A36; A38; A42-A89; B00-B04;,A87
,,A36; A38; A42-A89; B00-B04;,A88
,,A36; A38; A42-A89; B00-B04;,A89
,,A36; A38; A42-A89; B00-B04;,B00
,,A36; A38; A42-A89; B00-B04;,B01
,,A36; A38; A42-A89; B00-B04;,B02
,,A36; A38; A42-A89; B00-B04;,B03
,,A36; A38; A42-A89; B00-B04;,B04
01.10,Pertussis,A37,A37
01.07,Meningitis and encephalitis,A39; G00- G05,A39
01.07,Meningitis and encephalitis,A39; G00- G05,G00
01.07,Meningitis and encephalitis,A39; G00- G05,G01
01.07,Meningitis and encephalitis,A39; G00- G05,G02
01.07,Meningitis and encephalitis,A39; G00- G05,G03
01.07,Meningitis and encephalitis,A39; G00- G05,G04
01.07,Meningitis and encephalitis,A39; G00- G05,G05
01.01,Sepsis,A40-A41,A40
01.01,Sepsis,A40-A41,A41
01.11,Haemorrhagic fever13,"A92-A96, A98-A99",A92
01.11,Haemorrhagic fever13,"A92-A96, A98-A99",A93
01.11,Haemorrhagic fever13,"A92-A96, A98-A99",A94
01.11,Haemorrhagic fever13,"A92-A96, A98-A99",A95
01.11,Haemorrhagic fever13,"A92-A96, A98-A99",A96
01.11,Haemorrhagic fever13,"A92-A96, A98-A99",A98
01.11,Haemorrhagic fever13,"A92-A96, A98-A99",A99
01.12,Dengue fever,A97,A97
01.06,Measles,B05,B05
,,B06-B19;,B06
,,B06-B19;,B07
,,B06-B19;,B08
,,B06-B19;,B09
,,B06-B19;,B10
,,B06-B19;,B11
,,B06-B19;,B12
,,B06-B19;,B13
,,B06-B19;,B14
,,B06-B19;,B15
,,B06-B19;,B16
,,B06-B19;,B17
,,B06-B19;,B18
,,B06-B19;,B19
01.03,HIV/AIDS related death,B20-B24,B20
01.03,HIV/AIDS related death,B20-B24,B21
01.03,HIV/AIDS related death,B20-B24,B22
01.03,HIV/AIDS related death,B20-B24,B23
01.03,HIV/AIDS related death,B20-B24,B24
,,B25-B49; B55-B99,B25
,,B25-B49; B55-B99,B26
,,B25-B49; B55-B99,B27
,,B25-B49; B55-B99,B28
,,B25-B49; B55-B99,B29
,,B25-B49; B55-B99,B30
,,B25-B49; B55-B99,B31
,,B25-B49; B55-B99,B32
,,B25-B49; B55-B99,B33
,,B25-B49; B55-B99,B34
,,B25-B49; B55-B99,B35
