WHO_VA_code,WHO_VA_title,icd_range_codes
VAs-01.01,Sepsis,A40-A41 
VAs-01.02,"Acute respiratory infection, including pneumonia",J00-J22; J85 
VAs-01.03,HIV/AIDS related death,B20-B24 
VAs-01.04,Diarrheal diseases,A00-A09 
VAs-01.05,Malaria,B50-B54 
VAs-01.06,Measles,B05 
VAs-01.07,Meningitis and encephalitis,A39; G00- G05 
VAs-01.08,Tetanus,A33-A35 
VAs-01.09,Pulmonary tuberculosis,A15-A16 
VAs-01.10,Pertussis,A37 
VAs-01.11,Haemorrhagic fever,"A92-A96, A98-A99 "
VAs-01.12,Dengue fever,A97 
VAs-01.13,Coronavirus disease (COVID-19),U07.1; U07.2 
VAs-01.99,Unspecified infectious disease,A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99
VAs-98,Other and unspecified non- communicable disease,D65-D89; E00-E07; E15-E35; E50-E90; F00-F99; G06-G09; G10-G37; G50-G99; H00-H95; J30-J39; J47-J84; J86-J99; K00-K31; K35-K38 K40-K69; K77-K93 L00-L99; M00-M99; N00-N16; N20-N99
VAs-02.01,Oral neoplasms,C00-C06 
VAs-02.02,Digestive neoplasms,C15-C26 
VAs-02.03,Respiratory neoplasms,C30-C39 
VAs-02.04,Breast neoplasms,C50 
VAs-02.05,Female reproductive neoplasms,C51-C58 
VAs-02.06,Male reproductive neoplasms,C60-C63 
VAs-02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95 
VAs-03.01,Severe anaemia,D50-D64 
VAs-03.02,Severe malnutrition,E40-E46 
VAs-03.03,Diabetes mellitus,E10-E14 
VAs-04.01,Acute cardiac disease,I11.0; I20-I26; I46.1; I46.9; I50.1 
VAs-04.02,Stroke,I60-I69 
VAs-04.03,Sickle cell with crisis,D57 
VAs-04.99,Other and unspecified cardiac disease,I00-I10; I11.9-I15; I27-I46.0; I47-I50.0; I50.9-I52; I70-I99 
