icd10_code,cghr_code,cghr_label,wva2016_code,wva2016_title,icd10_range
A00,2,Diarrhoea,1.04,Diarrheal diseases,A00-09
A01,2,Diarrhoea,1.04,Diarrheal diseases,A00-09
A02,2,Diarrhoea,1.04,Diarrheal diseases,A00-09
A03,2,Diarrhoea,1.04,Diarrheal diseases,A00-09
A04,2,Diarrhoea,1.04,Diarrheal diseases,A00-09
A05,2,Diarrhoea,1.04,Diarrheal diseases,A00-09
A06,2,Diarrhoea,1.04,Diarrheal diseases,A00-09
A07,2,Diarrhoea,1.04,Diarrheal diseases,A00-09
A08,2,Diarrhoea,1.04,Diarrheal diseases,A00-09
A09,2,Diarrhoea,1.04,Diarrheal diseases,A00-09
A15,4,Other Infections,1.09,Pulmonary tuberculosis,A15-16
A16,4,Other Infections,1.09,Pulmonary tuberculosis,A15-16
A17,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
A18,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
A19,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
A20,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
A21,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
A22,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
A23,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
A24,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
A25,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
A26,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
A27,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
A28,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
A30,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
A31,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
A32,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
A33,4,Other Infections,1.08,Tetanus,A33-35
A33,4,Other Infections,10.05,Neonatal tetanus,A33
A34,4,Other Infections,1.08,Tetanus,A33-35
A35,4,Other Infections,1.08,Tetanus,A33-35
A36,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
A37,1,Pneumonia,1.1,Pertussis,A37
A38,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
A39,4,Other Infections,1.07,Meningitis and encephalitis,"A39,G00-05"
A40,4,Other Infections,1.01,Sepsis,A40-41
A41,4,Other Infections,1.01,Sepsis,A40-41
