"","icd10_code","wva2016_code","wva2016_title","icd10_range.x","wbd10_age","wbd10_kind","wbd10_kind_depth","wbd10_codex4","wbd10_codex2","wbd10_code","wbd10_codex4_title","wbd10_codex2_title","wbd10_title","icd10_range.y"
"1","A00",1.04,"Diarrheal diseases","A00-09","adult","codex",3,1,"1D","1D01","Communicable, maternal, perinatal and nutritional conditions","Diarrhoeal diseases","Diarrhoeal diseases","A00-A09"
"2","A01",1.04,"Diarrheal diseases","A00-09","adult","codex",3,1,"1D","1D01","Communicable, maternal, perinatal and nutritional conditions","Diarrhoeal diseases","Diarrhoeal diseases","A00-A09"
"3","A02",1.04,"Diarrheal diseases","A00-09","adult","codex",3,1,"1D","1D01","Communicable, maternal, perinatal and nutritional conditions","Diarrhoeal diseases","Diarrhoeal diseases","A00-A09"
"4","A03",1.04,"Diarrheal diseases","A00-09","adult","codex",3,1,"1D","1D01","Communicable, maternal, perinatal and nutritional conditions","Diarrhoeal diseases","Diarrhoeal diseases","A00-A09"
"5","A04",1.04,"Diarrheal diseases","A00-09","adult","codex",3,1,"1D","1D01","Communicable, maternal, perinatal and nutritional conditions","Diarrhoeal diseases","Diarrhoeal diseases","A00-A09"
"6","A05",1.04,"Diarrheal diseases","A00-09","adult","codex",3,1,"1D","1D01","Communicable, maternal, perinatal and nutritional conditions","Diarrhoeal diseases","Diarrhoeal diseases","A00-A09"
"7","A06",1.04,"Diarrheal diseases","A00-09","adult","codex",3,1,"1D","1D01","Communicable, maternal, perinatal and nutritional conditions","Diarrhoeal diseases","Diarrhoeal diseases","A00-A09"
"8","A07",1.04,"Diarrheal diseases","A00-09","adult","codex",3,1,"1D","1D01","Communicable, maternal, perinatal and nutritional conditions","Diarrhoeal diseases","Diarrhoeal diseases","A00-A09"
"9","A08",1.04,"Diarrheal diseases","A00-09","adult","codex",3,1,"1D","1D01","Communicable, maternal, perinatal and nutritional conditions","Diarrhoeal diseases","Diarrhoeal diseases","A00-A09"
"10","A09",1.04,"Diarrheal diseases","A00-09","adult","codex",3,1,"1D","1D01","Communicable, maternal, perinatal and nutritional conditions","Diarrhoeal diseases","Diarrhoeal diseases","A00-A09"
"11","A15",1.09,"Pulmonary tuberculosis","A15-16","adult","codex",3,1,"1A","1A01","Communicable, maternal, perinatal and nutritional conditions","Tuberculosis","Tuberculosis","A15-A19,B90,J65"
"12","A16",1.09,"Pulmonary tuberculosis","A15-16","adult","codex",3,1,"1A","1A01","Communicable, maternal, perinatal and nutritional conditions","Tuberculosis","Tuberculosis","A15-A19,B90,J65"
"13","A17",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","adult","codex",3,1,"1A","1A01","Communicable, maternal, perinatal and nutritional conditions","Tuberculosis","Tuberculosis","A15-A19,B90,J65"
"14","A18",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","adult","codex",3,1,"1A","1A01","Communicable, maternal, perinatal and nutritional conditions","Tuberculosis","Tuberculosis","A15-A19,B90,J65"
"15","A19",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","adult","codex",3,1,"1A","1A01","Communicable, maternal, perinatal and nutritional conditions","Tuberculosis","Tuberculosis","A15-A19,B90,J65"
"16","A20",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","adult","codex",3,1,"1K","1K01","Communicable, maternal, perinatal and nutritional conditions","Acute bacterial sepsis & severe Infections","Severe Systemic Infection","A20-A28,A32,A38,A40-A49,A68,A70,A74-A79,B95-B96,P36-P39,U80-U89"
"17","A21",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","adult","codex",3,1,"1K","1K01","Communicable, maternal, perinatal and nutritional conditions","Acute bacterial sepsis & severe Infections","Severe Systemic Infection","A20-A28,A32,A38,A40-A49,A68,A70,A74-A79,B95-B96,P36-P39,U80-U89"
"18","A22",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","adult","codex",3,1,"1K","1K01","Communicable, maternal, perinatal and nutritional conditions","Acute bacterial sepsis & severe Infections","Severe Systemic Infection","A20-A28,A32,A38,A40-A49,A68,A70,A74-A79,B95-B96,P36-P39,U80-U89"
"19","A23",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","adult","codex",3,1,"1K","1K01","Communicable, maternal, perinatal and nutritional conditions","Acute bacterial sepsis & severe Infections","Severe Systemic Infection","A20-A28,A32,A38,A40-A49,A68,A70,A74-A79,B95-B96,P36-P39,U80-U89"
"20","A24",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","adult","codex",3,1,"1K","1K01","Communicable, maternal, perinatal and nutritional conditions","Acute bacterial sepsis & severe Infections","Severe Systemic Infection","A20-A28,A32,A38,A40-A49,A68,A70,A74-A79,B95-B96,P36-P39,U80-U89"
"21","A25",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","adult","codex",3,1,"1K","1K01","Communicable, maternal, perinatal and nutritional conditions","Acute bacterial sepsis & severe Infections","Severe Systemic Infection","A20-A28,A32,A38,A40-A49,A68,A70,A74-A79,B95-B96,P36-P39,U80-U89"
"22","A26",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","adult","codex",3,1,"1K","1K01","Communicable, maternal, perinatal and nutritional conditions","Acute bacterial sepsis & severe Infections","Severe Systemic Infection","A20-A28,A32,A38,A40-A49,A68,A70,A74-A79,B95-B96,P36-P39,U80-U89"
"23","A27",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","adult","codex",3,1,"1K","1K01","Communicable, maternal, perinatal and nutritional conditions","Acute bacterial sepsis & severe Infections","Severe Systemic Infection","A20-A28,A32,A38,A40-A49,A68,A70,A74-A79,B95-B96,P36-P39,U80-U89"
"24","A28",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","adult","codex",3,1,"1K","1K01","Communicable, maternal, perinatal and nutritional conditions","Acute bacterial sepsis & severe Infections","Severe Systemic Infection","A20-A28,A32,A38,A40-A49,A68,A70,A74-A79,B95-B96,P36-P39,U80-U89"
"25","A30",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","adult","codex",3,1,"1I","1I02","Communicable, maternal, perinatal and nutritional conditions","Selected tropical diseases","Leprosy","A30,B92"
"26","A31",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","adult","codex",3,1,"1L","1L01","Communicable, maternal, perinatal and nutritional conditions","Other infectious and parasitic diseases","Other infectious diseases","A31,A50,A65-A67,A69,B00,B02,B04,B07-B09,B25,B27-B49,B59,B85-B89,B94,B97-B99,P35,Y95"
"27","A32",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","adult","codex",3,1,"1K","1K01","Communicable, maternal, perinatal and nutritional conditions","Acute bacterial sepsis & severe Infections","Severe Systemic Infection","A20-A28,A32,A38,A40-A49,A68,A70,A74-A79,B95-B96,P36-P39,U80-U89"
