"","icd10_code","wva2016_code","wva2016_title","icd10_range.x","wbd10_age","wbd10_kind","wbd10_kind_depth","wbd10_codex4","wbd10_codex2","wbd10_code","wbd10_codex4_title","wbd10_codex2_title","wbd10_title","icd10_range.y"
"1","A00",1.04,"Diarrheal diseases","A00-09","child","codex",3,1,"1B","1B01","Communicable, perinatal and nutritional conditions","Other communicable diseases","Diarrhoeal diseases","A00-A09"
"2","A01",1.04,"Diarrheal diseases","A00-09","child","codex",3,1,"1B","1B01","Communicable, perinatal and nutritional conditions","Other communicable diseases","Diarrhoeal diseases","A00-A09"
"3","A02",1.04,"Diarrheal diseases","A00-09","child","codex",3,1,"1B","1B01","Communicable, perinatal and nutritional conditions","Other communicable diseases","Diarrhoeal diseases","A00-A09"
"4","A03",1.04,"Diarrheal diseases","A00-09","child","codex",3,1,"1B","1B01","Communicable, perinatal and nutritional conditions","Other communicable diseases","Diarrhoeal diseases","A00-A09"
"5","A04",1.04,"Diarrheal diseases","A00-09","child","codex",3,1,"1B","1B01","Communicable, perinatal and nutritional conditions","Other communicable diseases","Diarrhoeal diseases","A00-A09"
"6","A05",1.04,"Diarrheal diseases","A00-09","child","codex",3,1,"1B","1B01","Communicable, perinatal and nutritional conditions","Other communicable diseases","Diarrhoeal diseases","A00-A09"
"7","A06",1.04,"Diarrheal diseases","A00-09","child","codex",3,1,"1B","1B01","Communicable, perinatal and nutritional conditions","Other communicable diseases","Diarrhoeal diseases","A00-A09"
"8","A07",1.04,"Diarrheal diseases","A00-09","child","codex",3,1,"1B","1B01","Communicable, perinatal and nutritional conditions","Other communicable diseases","Diarrhoeal diseases","A00-A09"
"9","A08",1.04,"Diarrheal diseases","A00-09","child","codex",3,1,"1B","1B01","Communicable, perinatal and nutritional conditions","Other communicable diseases","Diarrhoeal diseases","A00-A09"
"10","A09",1.04,"Diarrheal diseases","A00-09","child","codex",3,1,"1B","1B01","Communicable, perinatal and nutritional conditions","Other communicable diseases","Diarrhoeal diseases","A00-A09"
"11","A15",1.09,"Pulmonary tuberculosis","A15-16","child","codex",3,1,"1B","1B02","Communicable, perinatal and nutritional conditions","Other communicable diseases","Tuberculosis","A15-A19,B90,J65"
"12","A16",1.09,"Pulmonary tuberculosis","A15-16","child","codex",3,1,"1B","1B02","Communicable, perinatal and nutritional conditions","Other communicable diseases","Tuberculosis","A15-A19,B90,J65"
"13","A17",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","child","codex",3,1,"1B","1B02","Communicable, perinatal and nutritional conditions","Other communicable diseases","Tuberculosis","A15-A19,B90,J65"
"14","A18",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","child","codex",3,1,"1B","1B02","Communicable, perinatal and nutritional conditions","Other communicable diseases","Tuberculosis","A15-A19,B90,J65"
"15","A19",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","child","codex",3,1,"1B","1B02","Communicable, perinatal and nutritional conditions","Other communicable diseases","Tuberculosis","A15-A19,B90,J65"
