"","icd10_code","wva2016_code","wva2016_title","icd10_range.x","wbd10_age","wbd10_kind","wbd10_kind_depth","wbd10_codex4","wbd10_codex2","wbd10_code","wbd10_codex4_title","wbd10_codex2_title","wbd10_title","icd10_range.y"
"1","A00",1.04,"Diarrheal diseases","A00-09","neo","codex",3,1,"1B","1B01","Communicable, perinatal and nutritional conditions","Other communicable diseases","Diarrhoeal diseases","A00-A09"
"2","A01",1.04,"Diarrheal diseases","A00-09","neo","codex",3,1,"1B","1B01","Communicable, perinatal and nutritional conditions","Other communicable diseases","Diarrhoeal diseases","A00-A09"
"3","A02",1.04,"Diarrheal diseases","A00-09","neo","codex",3,1,"1B","1B01","Communicable, perinatal and nutritional conditions","Other communicable diseases","Diarrhoeal diseases","A00-A09"
"4","A03",1.04,"Diarrheal diseases","A00-09","neo","codex",3,1,"1B","1B01","Communicable, perinatal and nutritional conditions","Other communicable diseases","Diarrhoeal diseases","A00-A09"
"5","A04",1.04,"Diarrheal diseases","A00-09","neo","codex",3,1,"1B","1B01","Communicable, perinatal and nutritional conditions","Other communicable diseases","Diarrhoeal diseases","A00-A09"
"6","A05",1.04,"Diarrheal diseases","A00-09","neo","codex",3,1,"1B","1B01","Communicable, perinatal and nutritional conditions","Other communicable diseases","Diarrhoeal diseases","A00-A09"
"7","A06",1.04,"Diarrheal diseases","A00-09","neo","codex",3,1,"1B","1B01","Communicable, perinatal and nutritional conditions","Other communicable diseases","Diarrhoeal diseases","A00-A09"
"8","A07",1.04,"Diarrheal diseases","A00-09","neo","codex",3,1,"1B","1B01","Communicable, perinatal and nutritional conditions","Other communicable diseases","Diarrhoeal diseases","A00-A09"
"9","A08",1.04,"Diarrheal diseases","A00-09","neo","codex",3,1,"1B","1B01","Communicable, perinatal and nutritional conditions","Other communicable diseases","Diarrhoeal diseases","A00-A09"
"10","A09",1.04,"Diarrheal diseases","A00-09","neo","codex",3,1,"1B","1B01","Communicable, perinatal and nutritional conditions","Other communicable diseases","Diarrhoeal diseases","A00-A09"
"11","A15",1.09,"Pulmonary tuberculosis","A15-16","neo","codex",3,1,"1B","1B06","Communicable, perinatal and nutritional conditions","Other communicable diseases","Other infectious and parasitic diseases","A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95"
"12","A16",1.09,"Pulmonary tuberculosis","A15-16","neo","codex",3,1,"1B","1B06","Communicable, perinatal and nutritional conditions","Other communicable diseases","Other infectious and parasitic diseases","A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95"
"13","A17",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","neo","codex",3,1,"1B","1B06","Communicable, perinatal and nutritional conditions","Other communicable diseases","Other infectious and parasitic diseases","A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95"
"14","A18",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","neo","codex",3,1,"1B","1B06","Communicable, perinatal and nutritional conditions","Other communicable diseases","Other infectious and parasitic diseases","A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95"
"15","A19",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","neo","codex",3,1,"1B","1B06","Communicable, perinatal and nutritional conditions","Other communicable diseases","Other infectious and parasitic diseases","A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95"
"16","A20",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","neo","codex",3,1,"1A","1A02","Communicable, perinatal and nutritional conditions","Neonatal Infections","Sepsis","A20-A28,A32,A38,A40-A44,A46,A48,A49,A68-A70,A74,A75,A77-A79,B95,B96,H10,H60,I30,I32-I33,I39-I41,K65,K67,K81,L00-L04,L08,M00-M01,M60,M86,N10,N30,N34,N41,N49,N61,P35-P39"
"17","A21",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","neo","codex",3,1,"1A","1A02","Communicable, perinatal and nutritional conditions","Neonatal Infections","Sepsis","A20-A28,A32,A38,A40-A44,A46,A48,A49,A68-A70,A74,A75,A77-A79,B95,B96,H10,H60,I30,I32-I33,I39-I41,K65,K67,K81,L00-L04,L08,M00-M01,M60,M86,N10,N30,N34,N41,N49,N61,P35-P39"
"18","A22",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","neo","codex",3,1,"1A","1A02","Communicable, perinatal and nutritional conditions","Neonatal Infections","Sepsis","A20-A28,A32,A38,A40-A44,A46,A48,A49,A68-A70,A74,A75,A77-A79,B95,B96,H10,H60,I30,I32-I33,I39-I41,K65,K67,K81,L00-L04,L08,M00-M01,M60,M86,N10,N30,N34,N41,N49,N61,P35-P39"
"19","A23",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","neo","codex",3,1,"1A","1A02","Communicable, perinatal and nutritional conditions","Neonatal Infections","Sepsis","A20-A28,A32,A38,A40-A44,A46,A48,A49,A68-A70,A74,A75,A77-A79,B95,B96,H10,H60,I30,I32-I33,I39-I41,K65,K67,K81,L00-L04,L08,M00-M01,M60,M86,N10,N30,N34,N41,N49,N61,P35-P39"
"20","A24",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","neo","codex",3,1,"1A","1A02","Communicable, perinatal and nutritional conditions","Neonatal Infections","Sepsis","A20-A28,A32,A38,A40-A44,A46,A48,A49,A68-A70,A74,A75,A77-A79,B95,B96,H10,H60,I30,I32-I33,I39-I41,K65,K67,K81,L00-L04,L08,M00-M01,M60,M86,N10,N30,N34,N41,N49,N61,P35-P39"
"21","A25",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","neo","codex",3,1,"1A","1A02","Communicable, perinatal and nutritional conditions","Neonatal Infections","Sepsis","A20-A28,A32,A38,A40-A44,A46,A48,A49,A68-A70,A74,A75,A77-A79,B95,B96,H10,H60,I30,I32-I33,I39-I41,K65,K67,K81,L00-L04,L08,M00-M01,M60,M86,N10,N30,N34,N41,N49,N61,P35-P39"
"22","A26",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","neo","codex",3,1,"1A","1A02","Communicable, perinatal and nutritional conditions","Neonatal Infections","Sepsis","A20-A28,A32,A38,A40-A44,A46,A48,A49,A68-A70,A74,A75,A77-A79,B95,B96,H10,H60,I30,I32-I33,I39-I41,K65,K67,K81,L00-L04,L08,M00-M01,M60,M86,N10,N30,N34,N41,N49,N61,P35-P39"
"23","A27",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","neo","codex",3,1,"1A","1A02","Communicable, perinatal and nutritional conditions","Neonatal Infections","Sepsis","A20-A28,A32,A38,A40-A44,A46,A48,A49,A68-A70,A74,A75,A77-A79,B95,B96,H10,H60,I30,I32-I33,I39-I41,K65,K67,K81,L00-L04,L08,M00-M01,M60,M86,N10,N30,N34,N41,N49,N61,P35-P39"
"24","A28",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","neo","codex",3,1,"1A","1A02","Communicable, perinatal and nutritional conditions","Neonatal Infections","Sepsis","A20-A28,A32,A38,A40-A44,A46,A48,A49,A68-A70,A74,A75,A77-A79,B95,B96,H10,H60,I30,I32-I33,I39-I41,K65,K67,K81,L00-L04,L08,M00-M01,M60,M86,N10,N30,N34,N41,N49,N61,P35-P39"
"25","A30",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","neo","codex",3,1,"1B","1B06","Communicable, perinatal and nutritional conditions","Other communicable diseases","Other infectious and parasitic diseases","A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95"
"26","A31",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","neo","codex",3,1,"1B","1B06","Communicable, perinatal and nutritional conditions","Other communicable diseases","Other infectious and parasitic diseases","A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95"
